ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
371887329,Hunter Family Foundation,202423189349103727,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,107,7256600.0,7256600.0,,7256600.0,0.0,reconciled,row sum ties printed line-3a total within $1,35,1982600.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202423189349103727_public.xml,a913d02e4bd3cbff,phase2-2026-08-03.1
371887329,Hunter Family Foundation,202533219349100723,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,139,11199500.0,11199500.0,,11199500.0,0.0,reconciled,row sum ties printed line-3a total within $1,46,3600500.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533219349100723_public.xml,a3d48682cc842449,phase2-2026-08-03.1
450524597,Earl and Brenda Shapiro Foundation,202420549349100802,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,1,2514917.0,2514917.0,,2514917.0,0.0,known_attachment_gap,grant schedule is a single attachment aggregate; itemization not public,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202420549349100802_public.xml,ef52ad1f3ceb3a1d,phase2-2026-08-03.1
450524597,Earl and Brenda Shapiro Foundation,202431389349101108,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,1,4714583.0,4714583.0,,4714583.0,0.0,known_attachment_gap,grant schedule is a single attachment aggregate; itemization not public,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431389349101108_public.xml,825d5367218cdf74,phase2-2026-08-03.1
450524597,Earl and Brenda Shapiro Foundation,202403189349103615,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,42,4194500.0,4194500.0,,4194500.0,0.0,reconciled,row sum ties printed line-3a total within $1,21,1021000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403189349103615_public.xml,558ccff69f9d05bf,phase2-2026-08-03.1
450524597,Earl and Brenda Shapiro Foundation,202513169349101811,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,17,3554000.0,3554000.0,,3554000.0,0.0,reconciled,row sum ties printed line-3a total within $1,7,514000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513169349101811_public.xml,8d3a84fabff3adef,phase2-2026-08-03.1
450575574,CME Group Foundation,202202709349100405,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,148,6092500.0,6092500.0,,5977433.0,0.0,reconciled,row sum ties printed line-3a total within $1,95,4096000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202202709349100405_public.xml,126e4c2a81547913,phase2-2026-08-03.1
450575574,CME Group Foundation,202343179349102719,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,124,6088500.0,6088500.0,,6088500.0,0.0,reconciled,row sum ties printed line-3a total within $1,79,4031500.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343179349102719_public.xml,f276934b93f9fcd3,phase2-2026-08-03.1
450575574,CME Group Foundation,202443209349105519,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,141,6073000.0,6073000.0,,6073000.0,0.0,reconciled,row sum ties printed line-3a total within $1,94,4178000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202443209349105519_public.xml,d137203905577938,phase2-2026-08-03.1
450575574,CME Group Foundation,202503179349102950,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,148,6739500.0,6739500.0,,6739500.0,0.0,reconciled,row sum ties printed line-3a total within $1,98,4793000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202503179349102950_public.xml,88380ad739a08d1a,phase2-2026-08-03.1
455492483,Farley Family Charitable Foundation,202231319349105458,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,14,2163109.0,2163109.0,,2163109.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,705000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202231319349105458_public.xml,eb247d9bbfac2ade,phase2-2026-08-03.1
455492483,Farley Family Charitable Foundation,202331319349101953,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,17,5702000.0,5702000.0,,5702000.0,0.0,reconciled,row sum ties printed line-3a total within $1,2,735000.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202331319349101953_public.xml,0a8a01a2edc6486b,phase2-2026-08-03.1
