project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0077,"National New Markets Tax Credit Fund, Inc.",12000000,12000000,2007,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60649,zip,,,missing_no_street_address_in_source,17031834200,41.7555676,-87.5836069,2020_tract_centroid_pip
IL0078,IFF,1000000,5572500,2007,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031461000,41.7273925,-87.5465424,2020_tract_centroid_pip
IL0079,Chicago Development Fund,23886498,48864563,2008,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0112,NAB Bank,1680000,1680000,2008,Business Financing,Chicago,Illinois,60640,zip,,,missing_no_street_address_in_source,17031031100,41.9726684,-87.6638662,2020_tract_centroid_pip
IL0126,"RBC Community Development, LLC",26260000,37420000,2011,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0127,IFF,850000,1175000,2011,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031282800,41.8702683,-87.6849136,2020_tract_centroid_pip
IL0128,"Five Points Community Capital, LLC",29650000,34883362,2012,Business Financing; Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031842900,41.8631389,-87.6729371,2020_tract_centroid_pip
IL0129,Chicago Development Fund,9310000,10381659,2011,Business Financing,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031843200,41.8487153,-87.6642169,2020_tract_centroid_pip
IL0130,Chicago Development Fund,21850000,22155066,2011,Real Estate–Rehabilitation–Commercial; Business Financing,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031841300,41.8439774,-87.6842025,2020_tract_centroid_pip
IL0131,Local Initiatives Support Corporation,13650000,15664704,2011,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031842800,41.8075339,-87.6983044,2020_tract_centroid_pip
IL0132,Central Bank of Kansas City,7767095.5099999998,7767095.5099999998,2011,Other Financing Purpose,Chicago,Illinois,60602,zip,,,missing_no_street_address_in_source,17031839100,41.8809857,-87.6330703,2020_tract_centroid_pip
IL0134,Park National Bank Initiatives,13000000,13000000,2011,Business Financing,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031231200,41.8990614,-87.7213153,2020_tract_centroid_pip
IL0135,Capital Impact Partners,23820000,23820000,2011,Business Financing,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031292400,41.8552397,-87.7223992,2020_tract_centroid_pip
IL0136,Park National Bank Initiatives,25783905,20300000,2011,Business Financing,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031491300,41.6888969,-87.6278036,2020_tract_centroid_pip
