project_id_or_row,cde_name,project_qlici_amount,estimated_total_project_cost,year,purpose_text,city,state,zip_or_tract,zip_or_tract_type,lat,lng,coord_status,census_tract_2020,tract_centroid_lat,tract_centroid_lng,community_area_source
IL0303,"Midwest Industrial Redevelopment Fund, LLC",1700000,1845000,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031251700,41.8913844,-87.7444793,2020_tract_centroid_pip
IL0304,"Midwest Industrial Redevelopment Fund, LLC",4000000,5175000,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031460302,41.747084,-87.5573879,2020_tract_centroid_pip
IL0316,Chicago Development Fund,5880000,6240897,2018,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031580502,41.8145617,-87.6993102,2020_tract_centroid_pip
IL0317,Chicago Development Fund,14700000,45392411,2018,Business Financing,Chicago,Illinois,60633,zip,,,missing_no_street_address_in_source,17031838800,41.6834042,-87.5740611,2020_tract_centroid_pip
IL0318,Chicago Development Fund,11300000,11300000,2018,Business Financing,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031420500,41.7831002,-87.6084261,2020_tract_centroid_pip
IL0319,"USBCDE, LLC",16205000,23147333,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0322,"Southside Community Optimal Redevelopment Enterprise, LLC",2000000,2000000,2018,Business Financing,Chicago,Illinois,60633,zip,,,missing_no_street_address_in_source,17031550200,41.6550974,-87.564827,2020_tract_centroid_pip
IL0323,"Southside Community Optimal Redevelopment Enterprise, LLC",1800000,1800000,2018,Business Financing,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031252000,41.8836759,-87.7698798,2020_tract_centroid_pip
IL0324,"Southside Community Optimal Redevelopment Enterprise, LLC",2000000,2000000,2018,Business Financing,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837800,41.8847504,-87.6841272,2020_tract_centroid_pip
IL0339,The Community Builders CDE LLC,11632500,14396690,2018,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031842900,41.8631389,-87.6729371,2020_tract_centroid_pip
IL0342,"Community Health Center Capital Fund, Inc.",7800000,8000000,2019,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60634,zip,,,missing_no_street_address_in_source,17031190402,41.9348596,-87.7712318,2020_tract_centroid_pip
IL0344,"Southside Community Optimal Redevelopment Enterprise, LLC",8500000,32488339,2019,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60620,zip,,,missing_no_street_address_in_source,17031842400,41.7424258,-87.6300706,2020_tract_centroid_pip
IL0347,"Southside Community Optimal Redevelopment Enterprise, LLC",900000,900000,2019,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60623,zip,,,missing_no_street_address_in_source,17031292500,41.8551613,-87.7322428,2020_tract_centroid_pip
IL0357,IFF,940000,1587000,2019,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031260300,41.8842766,-87.7331362,2020_tract_centroid_pip
IL0359,Chicago Development Fund,11760000,24627229,2019,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60649,zip,,,missing_no_street_address_in_source,17031430600,41.7644133,-87.571373,2020_tract_centroid_pip
IL0368,"MBS Urban Initiatives CDE, LLC",21711000,32695934.719999999,2020,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60620,zip,,,missing_no_street_address_in_source,17031710900,41.7421461,-87.6396893,2020_tract_centroid_pip
IL0372,Chicago Development Fund,7840000,8277353,2020,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0373,Chicago Development Fund,8330000,8499410,2021,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031837100,41.8856736,-87.6987204,2020_tract_centroid_pip
IL0374,Urban Action Community Development LLC,7500000,86423827,2020,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031838800,41.6834042,-87.5740611,2020_tract_centroid_pip
IL0376,"Southside Community Optimal Redevelopment Enterprise, LLC",9800000,15558041,2020,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60617,zip,,,missing_no_street_address_in_source,17031460301,41.7400264,-87.5563673,2020_tract_centroid_pip
IL0378,"Southside Community Optimal Redevelopment Enterprise, LLC",21492198.120000001,22175868,2020,Real Estate–Rehabilitation–Commercial; Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60637,zip,,,missing_no_street_address_in_source,17031420500,41.7831002,-87.6084261,2020_tract_centroid_pip
IL0379,National Community Investment Fund,11890000,14214984,2020,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60619,zip,,,missing_no_street_address_in_source,17031440700,41.7347514,-87.6096294,2020_tract_centroid_pip
IL0383,"Community Development Venture Capital Alliance, The",2218210,5709804,2020,Business Financing,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031843000,41.8679365,-87.7227489,2020_tract_centroid_pip
IL0385,Chicago Development Fund,14280000,15052046,2021,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60620,zip,,,missing_no_street_address_in_source,17031710800,41.7478366,-87.6488126,2020_tract_centroid_pip
IL0390,"Consortium America, LLC",8950000,10762756.74,2021,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500200,41.7008552,-87.6003086,2020_tract_centroid_pip
IL0391,"BMO Harris New Markets Fund, LLC",41715000,53135414,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60638,zip,,,missing_no_street_address_in_source,17031560200,41.8113309,-87.7478273,2020_tract_centroid_pip
IL0392,"Midwest Industrial Redevelopment Fund, LLC",7000000,15200000,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60609,zip,,,missing_no_street_address_in_source,17031611900,41.7985375,-87.6595552,2020_tract_centroid_pip
IL0393,"Empowerment Reinvestment Fund, LLC",505800,550000,2021,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60621,zip,,,missing_no_street_address_in_source,17031834700,41.7906903,-87.6450334,2020_tract_centroid_pip
IL0397,National Trust Community Investment Corporation,3250000,4706941,2022,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031251400,41.8909574,-87.7701248,2020_tract_centroid_pip
IL0400,"Southside Community Optimal Redevelopment Enterprise, LLC",3000000,7300000,2021,Business Financing,Chicago,Illinois,60641,zip,,,missing_no_street_address_in_source,17031190200,41.9351136,-87.7516489,2020_tract_centroid_pip
IL0401,"Southside Community Optimal Redevelopment Enterprise, LLC",15390000,23390000,2021,Business Financing,Chicago,Illinois,60608,zip,,,missing_no_street_address_in_source,17031843300,41.8637638,-87.6925503,2020_tract_centroid_pip
IL0402,Chicago Development Fund,13720000,21687421,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031251900,41.8838116,-87.7600945,2020_tract_centroid_pip
IL0403,Chase New Markets Corporation,11000000,12936605,2021,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60629,zip,,,missing_no_street_address_in_source,17031650302,41.7750931,-87.7177331,2020_tract_centroid_pip
IL0405,"USBCDE, LLC",4542545,4542545,2021,Other Financing Purpose,Chicago,Illinois,60602,zip,,,missing_no_street_address_in_source,17031320400,41.875817,-87.6172556,2020_tract_centroid_pip
IL0409,"Southside Community Optimal Redevelopment Enterprise, LLC",8500000,14803434,2021,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60613,zip,,,missing_no_street_address_in_source,17031832100,41.9528215,-87.6532414,2020_tract_centroid_pip
IL0410,Chase New Markets Corporation,3000000,4991739,2021,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60628,zip,,,missing_no_street_address_in_source,17031500300,41.689315,-87.6053698,2020_tract_centroid_pip
IL0413,"BMO Harris New Markets Fund, LLC",23086616.18,37245809,2021,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Business Financing,Chicago,Illinois,60639,zip,,,missing_no_street_address_in_source,17031250200,41.9123508,-87.751073,2020_tract_centroid_pip
IL0415,"Southside Community Optimal Redevelopment Enterprise, LLC",12250000,45673319,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031252201,41.8766958,-87.7521051,2020_tract_centroid_pip
IL0422,Chicago Development Fund,6860000,22662371,2022,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031252201,41.8766958,-87.7521051,2020_tract_centroid_pip
IL0429,Chicago Development Fund,6370000,6370000,2022,Business Financing,Chicago,Illinois,60632,zip,,,missing_no_street_address_in_source,17031842800,41.8075339,-87.6983044,2020_tract_centroid_pip
IL0430,IFF,14789250,22662371,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial; Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031252201,41.8766958,-87.7521051,2020_tract_centroid_pip
IL0431,ESIC New Markets Partners LP,19450000,45673319,2022,Real Estate–Rehabilitation–Commercial; Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60644,zip,,,missing_no_street_address_in_source,17031252201,41.8766958,-87.7521051,2020_tract_centroid_pip
IL0433,National Community Investment Fund,5335000,5843594,2022,Business Financing,Chicago,Illinois,60624,zip,,,missing_no_street_address_in_source,17031836800,41.8850903,-87.7149666,2020_tract_centroid_pip
IL0434,"BMO Harris New Markets Fund, LLC",11880000,18469358,2022,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,Chicago,Illinois,60612,zip,,,missing_no_street_address_in_source,17031838000,41.8773666,-87.6806521,2020_tract_centroid_pip
IL0438,Chase New Markets Corporation,2000000,18469358,2022,Real Estate–Rehabilitation–Commercial,Chicago,Illinois,60651,zip,,,missing_no_street_address_in_source,17031842100,41.8952785,-87.7336103,2020_tract_centroid_pip
