record_id,program_name,program_slug,funding_law,assistance_type,program_state,opportunity_status,amount_context,sba_loan_number,approval_date,source_approval_date,legal_business_name,source_business_name,dba_trade_name,franchise_name,published_street_address,published_city,published_state,published_zip,location_precision,grant_amount_usd,rural_urban_indicator,hubzone_indicator,congressional_district,grant_purp_cons_outdoor_seating,grant_purpose_covered_supplier,grant_purpose_debt,grant_purpose_food,grant_purpose_maintenance_indoor,grant_purpose_operations,grant_purpose_payroll,grant_purpose_rent,grant_purpose_supplies,grant_purpose_utility,legal_organization_type,lmi_indicator,socioeconomic_indicator,veteran_indicator,women_owned_indicator,restaurant_type,source_url,source_download_url,source_version
sba-rrf-7638658902,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7638658902,2021-05-07,05/07/2021,Uncle Mike's Place Inc,Uncle Mike's Place Inc,,,1700 W Grand Ave,Chicago,IL,60622,published_street_address_ungeocoded,102690.00,U,N,IL-04,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,N,Y,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7639468906,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7639468906,2021-05-07,05/07/2021,MMonreal Corporation,MMonreal Corporation,,,2747 S Hamlin Ave,Chicago,IL,60623,published_street_address_ungeocoded,325957.00,U,Y,IL-04,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,Y,Y,N,N,"Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7640968900,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7640968900,2021-05-07,05/07/2021,Add Chapter Design LLC,Add Chapter Design LLC,,,6046 N Avondale Ave,Chicago,IL,60631,published_street_address_ungeocoded,199884.52,U,N,IL-05,N,N,N,Y,N,Y,Y,Y,N,N,Limited  Liability Company(LLC),N,N,N,Y,Restaurant && Snack and Nonalcoholic Beverage Bar,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7641838909,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7641838909,2021-05-07,05/07/2021,Taylormade Llc,Taylormade Llc,,,6717 S Halsted St,Chicago,IL,60621,published_street_address_ungeocoded,107650.00,U,Y,IL-01,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Limited  Liability Company(LLC),Y,N,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7642028904,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7642028904,2021-05-07,05/07/2021,JAYSWAMI ENTERPRISES INC.,JAYSWAMI ENTERPRISES INC.,,Subway,2352 W Cermak Rd,Chicago,IL,60608,published_street_address_ungeocoded,50335.66,U,Y,IL-03,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,Y,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7642108904,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7642108904,2021-05-07,05/07/2021,Trapani Foods LLC,Trapani Foods LLC,,,251 E Huron St 2nd Floor,Chicago,IL,60611,published_street_address_ungeocoded,123876.98,U,N,IL-07,N,N,N,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,Y,Restaurant && Caterer && Other,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7642228905,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7642228905,2021-05-07,05/07/2021,Sistas Bistro & Catering LLC,Sistas Bistro & Catering LLC,,,8654 S Champlain Ave,Chicago,IL,60619,published_street_address_ungeocoded,37134.00,U,Y,IL-01,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),Y,N,N,Y,Caterer,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7642848903,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7642848903,2021-05-07,05/07/2021,Noodles Party,Noodles Party,,,4205 W Lawrence Ave,Chicago,IL,60630,published_street_address_ungeocoded,30808.00,U,N,IL-04,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Subchapter S Corporation,Y,N,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7643768905,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7643768905,2021-05-07,05/07/2021,Havana Coffee Lounge and Roastery,Havana Coffee Lounge and Roastery,,,2141 E 84th St,Chicago,IL,60617,published_street_address_ungeocoded,3623.96,U,Y,IL-01,N,N,N,Y,N,Y,N,N,Y,N,Sole Proprietorship,Y,N,Y,Y,Caterer,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7643808904,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7643808904,2021-05-07,05/07/2021,The Barrel Run,The Barrel Run,,,1430 W 38th St,Chicago,IL,60609,published_street_address_ungeocoded,357512.00,U,Y,IL-01,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,Y,Other,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7645048905,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7645048905,2021-05-07,05/07/2021,Gambers I Inc.,Gambers I Inc.,,,4908 N Pulaski Rd,Chicago,IL,60630,published_street_address_ungeocoded,114341.00,U,N,IL-04,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Subchapter S Corporation,Y,N,N,Y,"Restaurant && Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7645068900,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7645068900,2021-05-07,05/07/2021,Ruth G. Inc,Ruth G. Inc,,,11136 S Western Ave,Chicago,IL,60643,published_street_address_ungeocoded,107601.00,U,N,IL-01,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Subchapter S Corporation,N,N,N,Y,"Bar, Saloon, Lounge, Tavern",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7645288907,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7645288907,2021-05-07,05/07/2021,Dos Amigas HSH Inc.,Dos Amigas HSH Inc.,,Subway,6315 S Cottage Grove Ave,Chicago,IL,60637,published_street_address_ungeocoded,54418.00,U,Y,IL-01,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,Y,N,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7645418909,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7645418909,2021-05-07,05/07/2021,YAYA HOLDINGS LLC SERIES CITY HARVEST CAFE,YAYA HOLDINGS LLC SERIES CITY HARVEST CAFE,,,2931 N Broadway St,Chicago,IL,60657,published_street_address_ungeocoded,54444.62,U,N,IL-04,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,N,N,Y,Restaurant && Snack and Nonalcoholic Beverage Bar,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7646138910,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7646138910,2021-05-07,05/07/2021,Jitsuo LLC,Jitsuo LLC,,,1829 W Chicago Ave,Chicago,IL,60622,published_street_address_ungeocoded,206836.00,U,N,IL-04,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),N,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7646348903,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7646348903,2021-05-07,05/07/2021,Peach's at University LLC,Peach's at University LLC,,,4455 S King Dr,Chicago,IL,60653,published_street_address_ungeocoded,96022.38,U,Y,IL-01,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Limited  Liability Company(LLC),Y,Y,N,N,"Food Stand, Food Truck, Food Cart",https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7646428903,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7646428903,2021-05-07,05/07/2021,Sandra Zavala Leon,Sandra Zavala Leon,,,5940 W Diversey,CHICAGO,IL,60639,published_street_address_ungeocoded,8250.75,U,N,IL-04,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Sole Proprietorship,Y,Y,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7647678910,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7647678910,2021-05-07,05/07/2021,Lacocina Mexican grill LLC,Lacocina Mexican grill LLC,,,45 N Wells St,Chicago,IL,60606,published_street_address_ungeocoded,355886.00,U,N,IL-07,N,N,Y,N,N,Y,N,Y,N,Y,Limited  Liability Company(LLC),N,Y,N,Y,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
sba-rrf-7648028905,Restaurant Revitalization Fund,sba-restaurant-revitalization-fund,American Rescue Plan Act of 2021,grant,closed_historical_award,not_active,historical_disbursed_grant,7648028905,2021-05-07,05/07/2021,Tempus Sub Burger INC,Tempus Sub Burger INC,,Subway,1234 N Halsted St,Chicago,IL,60642,published_street_address_ungeocoded,213211.03,U,Y,IL-05,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Corporation,N,Y,N,N,Restaurant,https://data.sba.gov/dataset/rrf-foia,https://data.sba.gov/sites/default/files/distribution/SBA-OCA-2022-09-001/rrf_foia.csv,2024-10-21
