ein,funder,object_id,tax_yr,return_type,schema_version,tax_period_begin,tax_period_end,amended,grant_rows,parsed_sum,line3a,line25a,line25d,delta,status,bridge_note,chicago_rows,chicago_dollars,source_url,sha256,extraction_version
366078558,Spencer Foundation,202313039349100311,2022,990PF,2022v5.0,2022-04-01,2023-03-31,N,284,24908730.0,24908730.0,18397480.0,24908730.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=18,397,480 differs from paid rows by 6,511,250 (accrual/noncash/set-aside timing)",25,726688.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313039349100311_public.xml,f94ab396547df635,tier1-2026-08-03.1
043684566,Conduit Foundation,202413209349103496,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,16,26059523.0,26059523.0,26059523.0,26059523.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202413209349103496_public.xml,eebf9929f062c0f2,tier1-2026-08-03.1
043684566,Conduit Foundation,202313209349101481,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,17,8718000.0,8718000.0,8718000.0,8718000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202313209349101481_public.xml,1bb152376c3ff27a,tier1-2026-08-03.1
043684566,Conduit Foundation,202233199349107203,2021,990PF,2021v4.2,2021-01-01,2021-12-31,N,22,7171000.0,7171000.0,7171000.0,7171000.0,0.0,reconciled,row sum ties printed line-3a total within $1,0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202233199349107203_public.xml,4b5cf532b19abb1c,tier1-2026-08-03.1
363486843,Steans Family Foundation,202513219349100446,2024,990PF,2024v5.2,2024-01-01,2024-12-31,N,2,41294252.0,41294252.0,41294252.0,41294252.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202513219349100446_public.xml,2e56ce76c83934e4,tier1-2026-08-03.1
363486843,Steans Family Foundation,202403199349105120,2023,990PF,2023v5.1,2023-01-01,2023-12-31,N,2,25563771.0,25563771.0,25563771.0,25563771.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403199349105120_public.xml,c2a7d37a67765250,tier1-2026-08-03.1
363486843,Steans Family Foundation,202343189349100814,2022,990PF,2022v5.0,2022-01-01,2022-12-31,N,2,16594143.0,16594143.0,16594143.0,16594143.0,0.0,known_attachment_gap,"aggregate/attachment filer: itemized rows unavailable in XML; control total recorded, no rows synthesized",0,0.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202343189349100814_public.xml,38f00750e8b49d7f,tier1-2026-08-03.1
364296414,Accenture Foundation INC,202521779349101157,2023,990PF,2023v6.0,2023-09-01,2024-08-31,N,21,22349953.0,22349953.0,39082692.0,22349953.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=39,082,692 differs from paid rows by -16,732,739 (accrual/noncash/set-aside timing)",2,739307.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202521779349101157_public.xml,7b556a738e20b4c8,tier1-2026-08-03.1
364296414,Accenture Foundation INC,202430959349100318,2022,990PF,2022v5.0,2022-09-01,2023-08-31,N,27,21544344.0,21544344.0,23911494.0,21544344.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=23,911,494 differs from paid rows by -2,367,150 (accrual/noncash/set-aside timing)",2,1228393.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202430959349100318_public.xml,d09c0033f9966cab,tier1-2026-08-03.1
364296414,Accenture Foundation INC,202301389349100710,2021,990PF,2021v4.2,2021-09-01,2022-08-31,N,40,20690082.0,20690082.0,24440509.0,20690082.0,0.0,reconciled,"row sum ties printed line-3a total within $1; book-basis bridge: line 25(a)=24,440,509 differs from paid rows by -3,750,427 (accrual/noncash/set-aside timing)",1,468050.0,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202301389349100710_public.xml,2565597b6d67863a,tier1-2026-08-03.1
