dataset,project_name,recipient_or_developer,address,tif_district,ward_or_area,authorized_tif_assistance,city_reported_expenditure,total_project_cost,announced_private_leverage,approval_or_report_year,status_text,lat,lng,source_row_id
rda-iga,Thai Town Center TIF,,4461 N Pulaski Rd,Lawrence/Pulaski,Ward 33 - Albany Park,1506306,,3365730,,2011,CDC approved 2011-04-13,41.9627399833,-87.7277287223,rda-iga:1001:0
rda-iga,PAUL G. STEWART APARTMENTS/ CHARLES A BECKETT ASSO,,400 E 41st St,Pershing/King,Ward 3 - Grand Boulevard,958547,,59540013,,2009,CDC approved 2009-04-22,41.8203495003,-87.6165141095,rda-iga:1005:1
rda-iga,Chatham Market,"W2005 CMK Realty, L.L.C.",8300 S Stewart Av,83rd/Stewart,Ward 21 - Auburn Gresham,26100000,,81933000,,1998,CDC approved 1998-09-09,41.7433981579,-87.6342517745,rda-iga:1009:2
rda-iga,Black Ensemble Theater,Black Ensemble Theater Corp.,4440 N Clark St,Clark/Montrose,Ward 47 - Uptown,6000000,,13500000,,2006,CDC approved 2006-02-08; COC issued 2012-09-18,41.9628344415,-87.666363307,rda-iga:1013:3
rda-iga,Marquette Village,,2601 W 74th St,Greater Southwest Industrial (East),Ward 18 - Chicago Lawn,6093318,,39560642,,2006,CDC approved 2006-07-11,41.7591229979,-87.6880475497,rda-iga:1015:4
rda-iga,Hellenic Museum,United Hellenic American Congress,333 S Halsted St,Near West,Ward 34 - Near West Side,3500000,,15266333,,2002,CDC approved 2002-02-06; COC issued 2013-12-27,41.8769533772,-87.6470634645,rda-iga:1017:5
rda-iga,Renaissance Place Apartments,"RPA L.P. and LCDC Safeway II, LLC",3123 W Douglas Bv,Midwest,Ward 24 - North Lawndale,2000000,,10767263,,2007,CDC approved 2007-06-13; COC issued 2009-07-30,41.862418839,-87.7039989182,rda-iga:1019:6
rda-iga,Mahogany Shops And Lofts At 47,Lofts 47 Phase 1 Limited Partnership,747 E 47th St,43rd Street/Cottage Grove Avenue,Ward 4 - Grand Boulevard,12850000,,45631627,,2012,CDC approved 2012-10-31; COC issued 2015-06-17,41.8094135532,-87.6070855618,rda-iga:1021:7
rda-iga,Montclare Senior Residences Of Avalon Park Phase 1,"Montclare Senior Residences of Avalon Park Phase I, LLC et al",1200 E 78th St,71st & Stony Island,Ward 8 - Avalon Park,1850000,,22077495,,2008,CDC approved 2008-07-09; COC issued 2011-05-19,41.7533208609,-87.5954564009,rda-iga:1024:8
rda-iga,Finkl Steel,A. Finkl & Sons Co.,1355 E 93rd St,Stony Island Avenue Commercial and Burnside Industrial Corridors,Ward 8 - Burnside,22500000,,150000000,,2012,CDC approved 2012-06-27; COC issued 2018-02-05,41.7258077379,-87.5907195412,rda-iga:1025:9
rda-iga,Grossinger,"Grossinger City Autocorp, Inc.",1561 N Fremont St,Weed/Fremont,Ward 2 - Near North Side,8500000,,38964167,,2008,CDC approved 2008-05-14; COC issued 2011-04-25,41.9102866559,-87.650941527,rda-iga:1026:10
rda-iga,United Airlines Headquarters,"UAL Corp. and United Airlines, Inc.",233 S Wacker Dr,LaSalle Central,Ward 42 - Loop,25889768,,71786650,,2009,CDC approved 2009-10-07; COC issued 2012-03-27,41.8785601536,-87.6365238721,rda-iga:1028:11
rda-iga,Wrightwood Senior,79th Street Limited Partnershi,2815 W 79th St,79th Street/Southwest Highway,Ward 18 - Ashburn,2950000,,21093696,,2009,CDC approved 2009-06-03; COC issued 2011-04-07,41.7497264566,-87.6932733372,rda-iga:1030:12
rda-iga,CPS - Senn High School,Chicago Public Schools,5900 N Glenwood Av,Clark Street & Ridge Avenue,Ward 48 - Edgewater,1000000,,3301000,,2011,CDC approved 2011-11-16,41.9890506285,-87.6652622209,rda-iga:1031:13
rda-iga,Ravenswood Station Retail,Magellan Development Group,1820 W Lawrence Av,Western Avenue North,Ward 47 - Lincoln Square,4500000,,42041660,,2012,CDC approved 2012-11-15; COC issued 2014-08-19,41.9689153861,-87.6754402878,rda-iga:1032:14
rda-iga,JMC Steel,JMC,227 W Monroe St,LaSalle Central,Ward 42 - Loop,840292.3,,4696602,,2012,CDC approved 2012-10-31; COC issued 2015-08-01,41.88053925,-87.6345924635,rda-iga:1038:15
rda-iga,Pulaski Promenade,IBT Group L.L.C.,4150 S Pulaski Rd,Stevenson/Brighton,Ward 14 - Archer Heights,7935395,,33286164,,2014,CDC approved 2014-06-25; COC issued 2016-11-01,41.8170566433,-87.7240552994,rda-iga:1039:16
rda-iga,Home Run Inn,"CP MOK Properties, LLC.",10900 S Western Av,Western Avenue/Rock Island,Ward 19 - Morgan Park,350000,,1556995,,2011,CDC approved 2011-12-14; COC issued 2016-05-12,41.6953463003,-87.6814153564,rda-iga:1041:17
rda-iga,Experimur Properties,"Experimur Properties, LLC",4045 S Morgan St,Stockyards Annex,Ward 11 - New City,3700000,,20800063,,2012,CDC approved 2012-02-15; COC issued 2012-10-22,41.8201359717,-87.6505656961,rda-iga:1043:18
rda-iga,IGA - CBE - Morgan Park High School,Chicago Public Schools,1744 W Pryor Av,Western Avenue/Rock Island,Ward 19 - Morgan Park,44000,,44000,,2012,CDC approved 2012-02-07,41.692060407,-87.6656430914,rda-iga:1044:19
rda-iga,815 W. Pershing,"GFP Alliance Chicago, LLC",815 W Pershing Rd,Stockyards Annex,Ward 11 - New City,917000,,15115468,,2012,CDC approved 2012-10-31; COC issued 2013-12-09,41.8233403472,-87.6465538474,rda-iga:1049:20
rda-iga,Rosenwald Courts,Rosenwald Courts Apartments LP,4600 S Michigan Av,47th and King Drive,Ward 3 - Grand Boulevard,25000000,,109842757,,2013,CDC approved 2013-10-16; COC issued 2017-08-15,41.8110070469,-87.6230291092,rda-iga:1054:21
rda-iga,Broad Shoulders Brewery,BSB Holdings LLC,2337 S Michigan Av,24th/Michigan,Ward 3 - Near South Side,628000,,3140000,,2013,CDC approved 2013-01-01; COC issued 2015-05-22,41.8500046955,-87.6235862437,rda-iga:1058:22
rda-iga,Chicago Children's Advocacy Center,Public Building Commission,1240 S Damen Av,Western/Ogden,Ward 28 - Near West Side,9000000,,9500000,,2012,CDC approved 2012-10-03,41.8654561685,-87.6763573199,rda-iga:1059:23
rda-iga,The American National Red Cross - Rauner Center,The American National Red Cross,2200 W Harrison St,Western/Ogden,Ward 28 - Near West Side,500000,,2625056,,2012,CDC approved 2012-11-15; COC issued 2015-04-23,41.8740732041,-87.6814695372,rda-iga:1060:24
rda-iga,Medinah Temple,"Medinah Temple, Inc. et al",600 N Wabash Av,Ohio/Wabash,Ward 42 - Near North Side,18066370,,59118000,,2001,CDC approved 2001-02-07; COC issued 2005-09-16,41.8925311482,-87.6268959645,rda-iga:1230:25
rda-iga,Lakefront SRO - Clybourn,,1244 N Clybourn Av,Near North,Ward 27 - Near North Side,1000000,,14178548,,2005,CDC approved 2005-06-29,41.9046977369,-87.6410745815,rda-iga:1231:26
rda-iga,Green Works,Chicago Greenworks LLC,551 N Sacramento Av,Kinzie Industrial Conservation Area,Ward 27 - Humboldt Park,6148331,,11260251,,2005,CDC approved 2005-07-27; COC issued 2012-07-25,41.8918881671,-87.7018515801,rda-iga:1236:27
rda-iga,IGA - CTA - Block 37,Chicago Transit Authority,108 N State St,Central Loop,Ward 34 - Loop,42350000,,158150000,,2006,CDC approved 2006-10-13,41.883422637,-87.6280216521,rda-iga:1237:28
rda-iga,Ford Supplier Park - CMC,"Chicago Manufacturing Campus, LLC",12600 S Torrence Av,"126th & Torrence,Lake Calumet Area Industrial",Ward 10 - Hegewisch,17183334,,88228423,,2002,CDC approved 2002-09-04,41.6661129912,-87.5590030803,rda-iga:1238:29
rda-iga,Wheatland Tube,John Maneely Company,2300 W 47th St,45th and Western,Ward 12 - New City,1869300,,23533566,,2003,CDC approved 2003-01-16; COC issued 2005-09-30,41.808542113,-87.6820838188,rda-iga:1239:30
rda-iga,Majestic Bldg,"Shubert Hotel Associates, LLC and Monroe Presentation, LLC",18 W Monroe St,Central Loop,Ward 34 - Loop,5564650,,40537650,,2003,CDC approved 2003-12-17; COC issued 2007-09-25,41.8808481425,-87.6284355803,rda-iga:1240:31
rda-iga,UPS - 14th Union,"United Parcel Service, Inc.",1500 S Jefferson St,Roosevelt/Canal,Ward 25 - Near West Side,6933800,,24151801,,2004,CDC approved 2004-09-29; COC issued 2007-01-19,41.8617761577,-87.6421504113,rda-iga:1241:32
rda-iga,Renaissance Estates,JTA Development,1555 W 122nd St,119th Street/I-57,Ward 21 - West Pullman,3600000,,18411668,,2003,CDC approved 2003-11-12; COC issued 2006-08-23,41.671959202,-87.6609761646,rda-iga:1242:33
rda-iga,IGA - CPD - Park 0457 - Richard Clark,,3400 N Rockwell St,Western Avenue South,Ward 47 - North Center,5676700,,7176700,,2006,CDC approved 2006-03-01,41.9430520411,-87.693844427,rda-iga:1245:34
rda-iga,City Escape Garden,"City Escape Garden and Design, LLC",3022 W Lake St,Kinzie Industrial Conservation Area,Ward 27 - East Garfield Park,425000,,2700000,,2005,CDC approved 2005-11-01; COC issued 2007-03-14,41.8842339864,-87.702243366,rda-iga:1246:35
rda-iga,Jewel - Kinzie DesPlaines,"Jewel Foods Stores, Inc.",360 N Desplaines St,River West,Ward 34 - West Town,4750000,,19200000,,2005,CDC approved 2005-12-07; COC issued 2009-10-01,41.8886088356,-87.6444699127,rda-iga:1247:36
rda-iga,Havens - 87th Parnell,Lakeshore 87th St Homes L.P.,8505 S Parnell Av,Chatham Ridge,Ward 21 - Auburn Gresham,7190000,,28845118,,2001,CDC approved 2001-10-31; COC issued 2007-04-14,41.7394292948,-87.6375067292,rda-iga:1248:37
rda-iga,Raven Theatre,Raven Theater Company,6157 N Clark St,Clark Street & Ridge Avenue,Ward 48 - Edgewater,550000,,1980000,,2002,CDC approved 2002-05-29,41.9943304383,-87.6700000745,rda-iga:1250:38
rda-iga,Eport - 600 W Chicago,Eport 600 Property Owner L.L.C.,610 W Chicago Av,Chicago/Kingsbury,Ward 27 - Near North Side,33243085,,286675924,,2003,CDC approved 2003-07-29; COC issued 2003-12-29,41.896578176,-87.6434124454,rda-iga:1251:39
rda-iga,Stylemaster - Gateway Park,"Gateway Park, LLC",7600 S Albany Av,Greater Southwest Industrial (East),Ward 18 - Ashburn,14000000,,28235000,,1999,CDC approved 1999-06-09; COC issued 2003-09-23,41.7551908179,-87.7006101642,rda-iga:1252:40
rda-iga,Republic Windows,"Republic Windows & Doors, Inc.",930 W Evergreen Av,Goose Island,Ward 27 - Near North Side,9132000,,36987715,,1996,CDC approved 1996-09-11,41.9050212623,-87.6525195444,rda-iga:1253:41
rda-iga,75 E Wacker - Mather,"Michigan Wacker Associates, LLC",75 E Wacker Dr,Central Loop,Ward 42 - Loop,1500000,,10700000,,2001,CDC approved 2001-03-28; COC issued 2002-08-30,41.8878618917,-87.6254130414,rda-iga:1254:42
rda-iga,Hostel,"American Youth Hostels-Chicago, Inc.",24 E Congress Dr,Central Loop,Ward 4 - Loop,3530000,,14000000,,1998,CDC approved 1998-12-02,41.8757854895,-87.6267064251,rda-iga:1255:43
rda-iga,Union Station Health Club,"UNION STATION REDEVELOPMENT, L.L.C.,",444 W Jackson Bv,Canal/Congress,Ward 42 - Near West Side,2200000,,13800000,,2001,CDC approved 2001-03-07,41.878155377,-87.6394999563,rda-iga:1256:44
rda-iga,332 S Michigan Ave,330 S Michigan Ave. LLC,332 S Michigan Av,Central Loop,Ward 34 - Loop,2030000,,23338030,,1999,CDC approved 1999-05-12,41.877480177,-87.6244465885,rda-iga:1257:45
rda-iga,IGA - CBE - Jones - HS II,Chicago Public Schools,642 S State St,Near South,Ward 4 - Loop,114641656,,119941656,,2012,CDC approved 2012-05-09,41.8735364489,-87.6277298635,rda-iga:1258:46
rda-iga,IGA - CBE - Teachers Acad - ES,,55 W Cermak Rd,24th/Michigan,Ward 3 - Near South Side,47000000,,47000000,,2002,CDC approved 2002-03-27,41.8527725549,-87.6292811368,rda-iga:1259:47
rda-iga,IGA - CBE - Simeon - HS,Chicago Public Schools,8235 S Vincennes Av,Chatham Ridge,Ward 6 - Chatham,16000000,,45840048,,2003,CDC approved 2003-03-01,41.7442971331,-87.6357560921,rda-iga:1260:48
rda-iga,International Produce Market,"CIPM, LLC and CenterPoint Realty Services Corp., LLC",2431 S Wolcott Av,Pilsen,Ward 25 - Lower West Side,9000000,,46639816,,2001,CDC approved 2001-03-28; COC issued 2003-06-09,41.8476596144,-87.6731167053,rda-iga:1261:49
rda-iga,95th Stony,"95th & Stony I, L.L.C. and 95th & Stony II, L.L.C.",1600 E 95th St,95th Street and Stony Island Avenue,Ward 8 - South Deering,7025000,,28963203,,1998,CDC approved 1998-04-01,41.722449457,-87.5850035691,rda-iga:1263:50
rda-iga,FedEx - W Division,Federal Express Corp.,875 W Division St,"Division-Hooker,Goose Island",Ward 27 - Near North Side,2200000,,12402672,,1996,CDC approved 1996-07-10,41.9034950341,-87.6509117503,rda-iga:1264:51
rda-iga,Steiner American Linen,Steiner Corp.,2665 S Leavitt St,Pilsen,Ward 12 - Lower West Side,3560000,,25238110,,2001,CDC approved 2001-10-31; COC issued 2004-01-05,41.8435640456,-87.680362086,rda-iga:1265:52
rda-iga,Petsmart - W Grand,Pet Smart Inc.,6655 W Grand Av,West Grand,Ward 29 - Montclare,800000,,4359000,,1997,CDC approved 1997-04-16,41.9235118102,-87.7923605086,rda-iga:1266:53
rda-iga,Miracle - Pepsi,Miracle LLC,1400 W 35th St,35th/Halsted,Ward 11 - McKinley Park,1650000,,18700000,,1999,CDC approved 1999-04-21,41.830669322,-87.6607891404,rda-iga:1267:54
rda-iga,Uptown Goldblatt,,4720 N Broadway,Lawrence/Broadway,Ward 46 - Uptown,7052894,,22991894,,2002,CDC approved 2002-09-04,41.9677179797,-87.6591217913,rda-iga:1268:55
rda-iga,Lincoln Village,"BGP Lincoln Village, L.L.C.",6081 N Lincoln Av,Lincoln Avenue,Ward 50 - North Park,5200000,,23158935,,2002,CDC approved 2002-03-27; COC issued 2004-08-02,41.9925104553,-87.7105868976,rda-iga:1269:56
rda-iga,Howard Theater,Howard Theater Limited,1615 W Howard St,Howard/Paulina,Ward 49 - Rogers Park,878200,,3790000,,1998,CDC approved 1998-07-29,42.019269958,-87.6720332966,rda-iga:1270:57
rda-iga,Jewel Osco Near South,"American Stores Properties, Inc.",1224 S Wabash Av,Near South,Ward 34 - Near South Side,5600000,,20621090,,2000,CDC approved 2000-06-07,41.8667243541,-87.6259611484,rda-iga:1271:58
rda-iga,North Cicero,North and Cicero LLC,1600 N Cicero Av,North/Cicero,Ward 37 - Austin,3000000,,20478550,,1999,CDC approved 1999-04-21,41.9096720015,-87.7462613036,rda-iga:1272:59
rda-iga,Theatre - ICE Plitt - Roosevelt Homan,"Plitt/ICE Lawndale, L.L.C.",3330 W Roosevelt Rd,Roosevelt-Homan,Ward 24 - North Lawndale,3335611,,10353000,,1997,CDC approved 1997-03-19,41.8664738467,-87.7093865131,rda-iga:1273:60
rda-iga,Dearborn Center,Dearborn Center LLC,123 S Dearborn St,Central Loop,Ward 34 - Loop,10000000,,337200000,,2001,CDC approved 2001-10-31,41.8800509943,-87.6292140145,rda-iga:1274:61
rda-iga,Home Depot - Fullerton Normandy,Home Depot Corp.,2555 N Normandy Av,Fullerton/Normandy,Ward 36 - Montclare,3100000,,17500000,,1994,CDC approved 1994-10-05,41.9269248056,-87.7927510481,rda-iga:1275:62
rda-iga,Home Depot - 87th Dan Ryan,Home Depot Corp.,200 W 87th St,Chatham Ridge,Ward 21 - Chatham,3200000,,15409527,,1997,CDC approved 1997-12-10,41.7362616994,-87.6290647164,rda-iga:1276:63
rda-iga,Soo T,"Soo T, LLC",1200 S Canal St,Roosevelt/Canal,Ward 28 - Near West Side,4500000,,20349361,,1997,CDC approved 1997-03-19,41.8671751247,-87.6393758126,rda-iga:1277:64
rda-iga,Sears - One North Dearborn,1 North Dearborn Trust,1 N Dearborn St,Central Loop,Ward 34 - Loop,13515833,,127397000,,1999,CDC approved 1999-11-17; COC issued 2004-01-16,41.8820298064,-87.6292564445,rda-iga:1278:65
rda-iga,Central Station,CENTRAL STATION DEV COW,1201 S Indiana Av,Near South,Ward 3 - Near South Side,11494400,,14678000,,1990,CDC approved 1990-11-28,41.8674021268,-87.6224068679,rda-iga:1279:66
rda-iga,Quaker Oats,Monroe Clinton LLC,555 W Monroe St,Canal/Congress,Ward 34 - Near West Side,11000000,,88381685,,2000,CDC approved 2000-09-27,41.8804479088,-87.6418389753,rda-iga:1280:67
rda-iga,Klee Bldg,"Chicago Klee Development, LLC",4001 N Milwaukee Av,Irving/Cicero,Ward 45 - Portage Park,1642000,,19197699,,2004,CDC approved 2004-07-21; COC issued 2009-12-23,41.9535615985,-87.7473137174,rda-iga:1283:68
rda-iga,Tootsie Roll,"Tootsie Roll Industries, Inc. et al",7401 S Cicero Av,"72nd Street and Cicero Avenue Area,Greater Southwest Industrial (West)",Ward 18 - West Lawn,43400000,,217000000,,1993,CDC approved 1993-11-17,41.7587279977,-87.7415356623,rda-iga:1286:69
rda-iga,550 W. Jackson,"550 Jackson Associates, LLC",550 W Jackson Bv,Canal/Congress,Ward 34 - Near West Side,7500000,,79440032,,2002,CDC approved 2002-03-27; COC issued 2008-09-25,41.8781318177,-87.6415854364,rda-iga:1287:70
rda-iga,UIC,Office of University Counsel,2035 W Taylor St,Roosevelt/Union,Ward 27 - Near West Side,107957123,,680847764,,1999,CDC approved 1999-11-10; COC issued 2015-05-22,41.8689831877,-87.6773087955,rda-iga:1288:71
rda-iga,Chatham Club,"Chatham Club, L L C",19 E 90th St,89th & State,Ward 6 - Chatham,3600000,,33647500,,1998,CDC approved 1998-09-09,41.7308475583,-87.623230085,rda-iga:1289:72
rda-iga,River Village - Site H2,River Village Townhomes,850 N Kingsbury St,"Chicago/Kingsbury,Near North",Ward 27 - Near North Side,1473353,,4524377.01,,2004,CDC approved 2004-12-08; COC issued 3005-05-27,41.8979174869,-87.6434892325,rda-iga:1290:73
rda-iga,Midway Games,,2727 W Roscoe St,Addison Corridor North,Ward 35 - Avondale,2287150,,4351208,,1999,CDC approved 1999-12-15,41.9426877199,-87.6966822547,rda-iga:1291:74
rda-iga,550 W Adams - USG,550 Adams LLC,550 W Adams St,Canal/Congress,Ward 34 - Near West Side,9750000,,132340000,,2004,CDC approved 2004-06-23; COC issued 2007-08-13,41.8793927981,-87.6416261769,rda-iga:1292:75
rda-iga,Heritage Homes,"New West Kedzie, LLC",704 S Kedzie Av,Midwest,Ward 24 - East Garfield Park,2800000,,18827055,,2004,CDC approved 2004-08-10,41.872594032,-87.706026925,rda-iga:1293:76
rda-iga,Montclare Sr Residence Belden Phase II,"Montclare Sr. Residences Phase II, L.P.",6640 W Belden Av,Montclare,Ward 29 - Montclare,7197700,,25152340,,2003,CDC approved 2003-03-05; COC issued 2005-06-03,41.9213157123,-87.7918238651,rda-iga:1294:77
rda-iga,CCIL,"C.C.I.L. Properties, Inc. and C.C.I.L., corp.",2750 W Roosevelt Rd,Western/Ogden,Ward 28 - North Lawndale,7022900,,21422900,,2003,CDC approved 2003-06-04; COC issued 2008-02-22,41.866625124,-87.6955148096,rda-iga:1295:78
rda-iga,Greenwood Associates,Greenwood Associates L.P.,1111 E 87th St,Stony Island Avenue Commercial and Burnside Industrial Corridors,Ward 8 - Burnside,2600000,,15481599,,2001,CDC approved 2001-01-10; COC issued 2006-08-25,41.7366471637,-87.5970971505,rda-iga:1296:79
rda-iga,Bishop Plaza,"Bishop Plaza, L.L.C.",4626 S Bishop St,47th/Ashland,Ward 15 - New City,2200000,,10240542,,2004,CDC approved 2004-05-05; COC issued 2008-07-08,41.8096464464,-87.6614855613,rda-iga:1298:80
rda-iga,Nanoink,"Nanoink, Inc.",1337 W Randolph St,Kinzie Industrial Conservation Area,Ward 27 - Near West Side,1000000,,5940753,,2003,CDC approved 2003-02-05,41.8840822885,-87.6603492082,rda-iga:1299:81
rda-iga,Montclare Sr Residence Belden Phase I,"Montclare Sr. Resid. Phase I, L.P.",6650 W Belden Av,Montclare,Ward 29 - Montclare,4853000,,21110807.91,,2000,CDC approved 2000-09-27,41.9213082228,-87.792090958,rda-iga:1301:82
rda-iga,Midway Broadcasting - WVON,,1000 E 87th St,Stony Island Avenue Commercial and Burnside Industrial Corridors,Ward 8 - Chatham,1000000,,4277615,,2005,CDC approved 2005-06-29; COC issued 2007-06-05,41.736820103,-87.6003894558,rda-iga:1302:83
rda-iga,Paulina Howard - Dominicks CTA,Combined Development - Howard LLC,1763 W Howard St,Howard/Paulina,Ward 49 - Rogers Park,8000000,,72788296.8,,1997,CDC approved 1997-07-03,42.0192885501,-87.6750585094,rda-iga:1303:84
rda-iga,Brickyard,"W9/MLM R.E. L.P. and W9/MLM Brickyard, L.L.C.",6465 W Diversey Av,Diversey/Narragansett,Ward 36 - Belmont Cragin,26500000,,109959532,,2003,CDC approved 2003-06-04; COC issued 2005-03-09,41.9308473337,-87.7880704559,rda-iga:1304:85
rda-iga,Blommer Chocolate,Blommer Chocolate Co.,600 W Kinzie St,River West,Ward 27 - West Town,8000000,,38609580,,2006,CDC approved 2006-02-08; COC issued 2009-08-25,41.8891582371,-87.642948945,rda-iga:1305:86
rda-iga,Laborer's Union,Construction Laborers' District Council Training and Apprentice Fund,1841 N Monitor Av,Galewood/Armitage Industrial,Ward 29 - Austin,5226225,,21152000,,2006,CDC approved 2006-06-28,41.914117588,-87.7714824066,rda-iga:1306:87
rda-iga,Peterson Cicero - Sauganash Place Whole Foods,"Peterson Cicero, LLC",6020 N Cicero Av,Peterson/Cicero,Ward 39 - Forest Glen,10300000,,63689644,,2005,CDC approved 2005-01-11; COC issued 2007-05-16,41.9904947718,-87.7484774142,rda-iga:1307:88
rda-iga,950 W Monroe Condo,"950 W Monroe Development, LLC",950 W Monroe St,Central West,Ward 34 - Near West Side,2890000,,34500000,,2005,CDC approved 2005-11-30; COC issued 2006-07-13,41.880524949,-87.6516927154,rda-iga:1308:89
rda-iga,Wrigley Innovation Center,Wm. Wrigley Jr. Company,1132 W Blackhawk St,Goose Island,Ward 27 - Near North Side,15000000,,84330000,,2003,CDC approved 2003-02-05; COC issued 2007-03-13,41.9072602527,-87.6568041725,rda-iga:1309:90
rda-iga,Home Depot - NW Industrial Corridor,"Home Depot U.S.A., Inc.",1919 N Cicero Av,Northwest Industrial Corridor,Ward 36 - Belmont Cragin,2675915,,18978127,,2003,CDC approved 2003-04-09; COC issued 2007-11-30,41.9157101456,-87.7459077545,rda-iga:1310:91
rda-iga,Hearts Multi-Family 1,Hearts United L.P.,600 E Bowen Av,43rd Street/Cottage Grove Avenue,Ward 4 - Grand Boulevard,4112216,,15900000,,1998,CDC approved 1998-11-04,41.819525014,-87.6116762542,rda-iga:1311:92
rda-iga,Hearts Multi-Family 2,Hearts United Phase ll L.P.,4258 S Langley Av,43rd Street/Cottage Grove Avenue,Ward 4 - Grand Boulevard,3400000,,17562026,,2000,CDC approved 2000-06-28,41.8168614483,-87.6093360233,rda-iga:1312:93
rda-iga,P G Stewart - Tower 4 - Constr,Paul G. Stewart Apartments Associates Phase V L.P.,424 E 41st St,"47th and King Drive,Pershing/King",Ward 3 - Grand Boulevard,1808000,,10978567,,1994,CDC approved 1994-07-13,41.8203625402,-87.6156613605,rda-iga:1313:94
rda-iga,Hearts Multi-Family 3,Hearts United Phase lll L.P.,550 E 41st St,43rd Street/Cottage Grove Avenue,Ward 4 - Grand Boulevard,1469000,,10983652,,2001,CDC approved 2001-11-28,41.8204190097,-87.6118795249,rda-iga:1315:95
rda-iga,Archer Courts - Phase I - Apts,,2242 S Princeton Av,Archer Courts,Ward 11 - Armour Square,2500000,,11040129,,1999,CDC approved 1999-05-12,41.8515779431,-87.6349203447,rda-iga:1316:96
rda-iga,Loyola U - Lakeshore,Loyola University Chicago,1032 W Sheridan Rd,Devon/Sheridan,Ward 49 - Rogers Park,20400000,,85000000,,2006,CDC approved 2006-05-24; COC issued 2016-04-22,41.9983309571,-87.6576010283,rda-iga:1317:97
rda-iga,Lake Park Crescent - Phase I - Rental,"Lake Park Crescent, L.P.",4100 S Lake Park Av,Lakefront,Ward 4 - Oakland,552000,,38180097,,2002,CDC approved 2002-10-02,41.8200167078,-87.6009979581,rda-iga:1318:98
rda-iga,Parkside Old Town - I,"Parkside Old Town I, LLC et al",400 W Division St,Near North,Ward 27 - Near North Side,8737605,,104981839,,2006,CDC approved 2006-07-26; COC issued 2010-01-15,41.9039027427,-87.6383708862,rda-iga:1319:99
rda-iga,Keebler,"Keebler Company, Inc and Atlantic Financial Group, Ltd.",10839 S Langley Av,Lake Calumet Area Industrial,Ward 9 - Pullman,2056700,,18381940,,2002,CDC approved 2002-06-19,41.6965210116,-87.6059247613,rda-iga:1320:100
rda-iga,Target - Peterson Ave,Target Corp.,2112 W Peterson Av,West Ridge - Peterson Avenue,Ward 40 - West Ridge,4600000,,40448695,,2006,CDC approved 2006-02-08; COC issued 2007-08-17,41.990729218,-87.6829794536,rda-iga:1321:101
rda-iga,105th Vincennes,MGM/TGI 105th Street LLC,10500 S Vincennes Av,105th Street and Vincennes Avenue,Ward 19 - Beverly,11900000,,75473873,,2006,CDC approved 2006-06-28,41.7031098983,-87.6575424739,rda-iga:1322:102
rda-iga,Stateway Gardens - Phase 1 - Park Blvd,Park Boulevard LLC,3500 S State St,"35th/State,Bronzeville",Ward 3 - Douglas,8390000,,70612816,,2005,CDC approved 2005-01-11,41.8309623692,-87.6267918461,rda-iga:1323:103
rda-iga,Pershing Courts,,3845 S State St,Bronzeville,Ward 3 - Douglas,734378,,17546609,,2003,CDC approved 2003-07-29; COC issued 2000-11-21,41.8242011421,-87.6262712265,rda-iga:1324:104
rda-iga,Metropolitan Allegro Bldg,"Palmet Venture, LLC",171 W Randolph St,Central Loop,Ward 42 - Loop,17600000,,77700000,,1997,CDC approved 1997-12-10,41.8843618775,-87.6331645376,rda-iga:1326:105
rda-iga,Mercy Hospital,Mercy Hospital and Medical Center,2525 S Michigan Av,26th/King Drive,Ward 4 - Near South Side,38000000,,263151638,,2006,CDC approved 2006-05-24,41.8467169566,-87.6233697276,rda-iga:1327:106
rda-iga,Ravenswood Sr Apts,Ravenswood Partners of Illinois L.P.,1818 W Peterson Av,Clark Street & Ridge Avenue,Ward 40 - West Ridge,5820000,,34387474,,2005,CDC approved 2005-11-01; COC issued 2009-05-20,41.9908491577,-87.6759930884,rda-iga:1328:107
rda-iga,Midway Village - Sr Affordable,"SL Midway, LLC",6710 S Keating Av,67th/Cicero,Ward 23 - West Lawn,2750000,,18100392,,2003,CDC approved 2003-12-17; COC issued 2006-06-29,41.7708128478,-87.7405219805,rda-iga:1329:108
rda-iga,Horner - IIA1 - Lowrise,"WHP Homes, LLC",2257 W Lake St,"Central West,Kinzie Industrial Conservation Area",Ward 27 - Near West Side,2501821,,17295471,,2007,CDC approved 2007-06-12,41.8846084399,-87.6839000898,rda-iga:1331:109
rda-iga,Beltone,Centerpoint Properties Trust,4201 W Victoria St,Peterson/Pulaski,Ward 39 - North Park,1000000,,7746274,,2007,CDC approved 2007-05-09,41.9847500984,-87.7334108599,rda-iga:1332:110
rda-iga,Lawndale Restoration Apts,"Lawndale H&A Bond, LP, and Lawndale H&A Bond Development, LLC",4118 W 15th St,"Midwest,Ogden/Pulaski",Ward 24 - North Lawndale,8950000,,28796475,,2007,CDC approved 2007-09-27; COC issued 2010-04-27,41.8607564095,-87.7283416197,rda-iga:1333:111
rda-iga,Liberty Square,"Liberty Square L.P. and H.I.C.A., Inc.",705 S Independence Bv,Midwest,Ward 24 - East Garfield Park,1900000,,14338917,,2004,CDC approved 2004-06-23,41.8724413776,-87.7195859945,rda-iga:1334:112
