program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,7144,Youth Services,"801 N Dearborn St, Chicago, IL 60610",26005.25,,Public Services,,2006-12-31,41.896721,-87.629559
cdbg,7145,Youth Services,"801 N Dearborn St, Chicago, IL 60610",62140.53,,Public Services,,2006-12-31,41.896721,-87.629559
cdbg,7147,"Other Public Services Not Listed in 05A-05Y, 03T","1532 N. SEDGWICKBLVD, CHICAGO, IL 60610",40228.00,,Public Services,,2006-12-31,41.910306,-87.638779
cdbg,7151,"Other Public Services Not Listed in 05A-05Y, 03T","1843 S Carpenter St, Chicago, IL 60608",27635.55,,Public Services,,2007-12-31,41.857183,-87.652968
cdbg,7152,"Other Public Services Not Listed in 05A-05Y, 03T","1350 W 103rd St, Chicago, IL 60643",60011.00,,Public Services,,2006-12-31,41.706931,-87.656718
cdbg,7154,Employment Training,"1255 W 63rd St, Chicago, IL 60636",9250.00,,Public Services,,2006-12-31,41.779429,-87.656296
cdbg,7156,"Other Public Services Not Listed in 05A-05Y, 03T","1663 N Mozart St, Chicago, IL 60647",74865.00,,Public Services,,2006-12-31,41.911656,-87.697806
cdbg,7157,"Other Public Services Not Listed in 05A-05Y, 03T","4628 N Clifton Ave, Chicago, IL 60640",13218.98,,Public Services,,2006-12-31,41.96659,-87.658551
cdbg,7158,Senior Services,"6328 N California Ave, Chicago, IL 60659",18384.97,,Public Services,,2006-12-31,41.99649,-87.699831
cdbg,7159,Employment Training,"703 W Monroe St, Chicago, IL 60661",71225.00,,Public Services,,2006-12-31,41.880381,-87.644178
cdbg,7161,"Other Public Services Not Listed in 05A-05Y, 03T","5040 N Pulaski Rd, Chicago, IL 60630",8456.06,,Public Services,,2006-12-31,41.973275,-87.728374
cdbg,7162,"Other Public Services Not Listed in 05A-05Y, 03T","122 S Michigan Ave, Chicago, IL 60603",9000.00,,Public Services,,2006-12-31,41.880564,-87.624654
cdbg,7163,Youth Services,"1115 W 35th St, Chicago, IL 60609",28939.52,,Public Services,,2007-12-31,41.830513,-87.653717
cdbg,7164,"Other Public Services Not Listed in 05A-05Y, 03T","18 S Michigan Ave, Chicago, IL 60603",41624.76,,Public Services,,2006-12-31,41.881874,-87.624678
cdbg,7165,"Other Public Services Not Listed in 05A-05Y, 03T","6800 S Wentworth Ave, Chicago, IL 60621",17664.38,,Public Services,,2007-12-31,41.770911,-87.630229
cdbg,7166,"Other Public Services Not Listed in 05A-05Y, 03T","7013 N Glenwood Ave, Chicago, IL 60626",12024.74,,Public Services,,2006-12-31,42.009942,-87.665674
