program,activity_id,activity_name,address,funding_amount,national_objective,activity_group,status_text,completion_date,lat,lng
cdbg,173,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St Ste 2800, Chicago, IL 60602",3655177.12,,Economic Development,,2003-05-31,41.882525,-87.631107
cdbg,176,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",298179.97,,Economic Development,,2002-08-16,41.882525,-87.631107
cdbg,184,Health Services,"200 E 115th St, Chicago, IL 60628",1638911.44,,Public Services,,1999-02-16,41.685538,-87.618054
cdbg,185,Health Services,"845 W Wilson Ave, Chicago, IL 60640",1976164.32,,Public Services,,1999-12-20,41.965344,-87.651702
cdbg,186,Health Services,"4230 S Greenwood Ave, 10 S. KEDZIE, CHICAGO ILLINOIS, Chicago, IL 60653",1117338.61,,Public Services,,2001-01-24,41.817433,-87.599556
cdbg,191,Senior Services,"510 N Peshtigo Ct, Chicago, IL 60611",466850.72,,Public Services,,1999-03-03,41.891128,-87.615396
cdbg,193,Services for The Disabled,"121 N La Salle St, MOPD RM 1104, Chicago, IL 60602",3750.00,,Public Services,,2005-12-30,41.883612,-87.632145
cdbg,194,Services for The Disabled,"2102 W Ogden Ave, MOPD FIELD OFFICE, Chicago, IL 60612",840730.86,,Public Services,,2001-04-06,41.871249,-87.678593
cdbg,196,Services for The Disabled,"2102 W Ogden Ave, MOPD FIELD OFFICE, Chicago, IL 60612",75274.91,,Public Services,,2002-02-14,41.871249,-87.678593
cdbg,198,"Other Public Services Not Listed in 05A-05Y, 03T","510 N Peshtigo Ct, Chicago, IL 60611",2898203.84,,Public Services,,2000-12-30,41.891128,-87.615396
cdbg,200,Child Care Services,"1615 W Chicago Ave, Chicago, IL 60622",4005000.00,,Public Services,,2000-12-30,41.89594,-87.667828
cdbg,201,Youth Services,"1615 W Chicago Ave, Chicago, IL 60622",263255.70,,Public Services,,2004-03-18,41.89594,-87.667828
cdbg,208,Sidewalks,"30 N La Salle St, Chicago, IL 60602",1564269.25,,Public Improvements,,2000-11-06,41.882676,-87.632594
cdbg,209,Sidewalks,"30 N La Salle St Ste 200, Chicago, IL 60602",2736652.13,,Public Improvements,,2000-02-26,41.882676,-87.632594
cdbg,211,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St, SUITE 2800, Chicago, IL 60602",217087.80,,Economic Development,,2001-02-28,41.882525,-87.631107
cdbg,213,Other Commercial/Industrial Improvements,"20 N Clark St Ste 2800, Chicago, IL 60602",67405.28,,Economic Development,,1999-08-11,41.882525,-87.631107
cdbg,218,Commercial/Industrial Infrastructure Development,"20 N Clark St Ste 2800, Chicago, IL 60602",170288.18,,Economic Development,,2002-08-20,41.882525,-87.631107
cdbg,220,Other Commercial/Industrial Improvements,"20 N Clark St Ste 2800, Chicago, IL 60602",1068795.69,,Economic Development,,2004-12-31,41.882525,-87.631107
cdbg,230,Rehabilitation: Multi-Unit Residential,"318 S Michigan Ave, CHICAGO, ILLINOIS 60604, Chicago, IL 60604",750000.00,,Housing,,2002-08-22,41.878051,-87.624603
cdbg,288,Employment Training,"7949 S Western Ave, Chicago, IL 60620",55080.00,,Public Services,,1998-12-30,41.748767,-87.682515
cdbg,290,Employment Training,"4753 N Broadway St Ste 632, Chicago, IL 60640",18850.00,,Public Services,,2001-03-12,41.968667,-87.659362
cdbg,292,Employment Training,"3834 N Cicero Ave, Chicago, IL 60641",90275.00,,Public Services,,1998-12-30,41.950726,-87.747496
cdbg,294,Employment Training,"5252 N Broadway St, Chicago, IL 60640",33245.00,,Public Services,,2000-02-10,41.977217,-87.660144
cdbg,295,Employment Training,"5082 W Jackson Blvd, Chicago, IL 60644",35000.00,,Public Services,,1998-12-30,41.876878,-87.752574
cdbg,297,Employment Training,"50 E 41st St, Chicago, IL 60653",80000.00,,Public Services,,1998-12-30,41.820309,-87.624653
cdbg,299,Employment Training,"4750 N Sheridan Rd, Chicago, IL 60640",30025.00,,Public Services,,1998-12-30,41.968486,-87.655064
cdbg,301,Employment Training,"1 S Franklin St, Chicago, IL 60606",46530.00,,Public Services,,1998-12-30,41.881795,-87.635093
cdbg,303,Employment Training,"4300 N California Ave, Chicago, IL 60618",30000.00,,Public Services,,1998-12-30,41.959447,-87.698613
cdbg,304,Employment Training,"4909 W Division St, Chicago, IL 60651",60000.00,,Public Services,,1998-12-30,41.902184,-87.748645
cdbg,307,Employment Training,"310 W 24th Pl, Chicago, IL 60616",35000.00,,Public Services,,1998-12-30,41.848399,-87.635093
cdbg,311,Employment Training,"1741 W 47th St, Chicago, IL 60609",14075.00,,Public Services,,1999-08-02,41.808439,-87.668782
cdbg,312,Employment Training,"4432 N Ravenswood Ave, Chicago, IL 60640",37000.00,,Public Services,,1998-12-30,41.962866,-87.674744
cdbg,318,Employment Training,"2011 W Pershing Rd, Chicago, IL 60609",100000.00,,Public Services,,1998-12-30,41.822992,-87.676531
cdbg,323,Employment Training,"626 W Jackson Blvd, Chicago, IL 60661",76800.00,,Public Services,,1998-12-30,41.878193,-87.642908
cdbg,328,Employment Training,"625 W Jackson Blvd, Chicago, IL 60661",93200.00,,Public Services,,2001-02-13,41.877865,-87.642879
cdbg,338,Employment Training,"118 N Central Ave, Chicago, IL 60644",15975.00,,Public Services,,1998-12-30,41.882626,-87.765116
cdbg,341,Employment Training,"5901 W Fulton St, Chicago, IL 60644",24475.00,,Public Services,,2001-10-29,41.885427,-87.771902
cdbg,346,Employment Training,"50 E Washington St, Chicago, IL 60602",57475.00,,Public Services,,1998-12-30,41.88339,-87.626206
cdbg,353,Employment Training,"11 E Adams St, Chicago, IL 60603",41400.00,,Public Services,,1998-12-30,41.879326,-87.626798
cdbg,358,Employment Training,"1307 S Wabash Ave, Chicago, IL 60605",45880.00,,Public Services,,1999-02-16,41.865693,-87.625567
cdbg,364,Employment Training,"790 N Milwaukee Ave, Chicago, IL 60642",56724.00,,Public Services,,1999-12-30,41.896048,-87.655448
cdbg,369,Neighborhood Facilities,"1737 W 18th St, Chicago, IL 60608",40150.00,,Public Improvements,,1999-12-31,41.857593,-87.66978
cdbg,370,Employment Training,"220 S Ashland Ave, Chicago, IL 60607",160900.00,,Public Services,,1999-12-31,41.878627,-87.667025
cdbg,390,Neighborhood Facilities,"501 N Central Ave, Chicago, IL 60644",44500.00,,Public Improvements,,2003-02-19,41.889043,-87.764912
cdbg,412,"Other Public Services Not Listed in 05A-05Y, 03T","1419 W Blackhawk St, Chicago, IL 60642",10700.00,,Public Services,,1998-12-30,41.906884,-87.663421
cdbg,418,Health Services,"4340 S Lamon Ave, Chicago, IL 60638",47876.63,,Public Services,,1999-07-23,41.813703,-87.744903
cdbg,425,Youth Services,"2653 W Ogden Ave, Chicago, IL 60608",48852.21,,Public Services,,1999-08-20,41.862241,-87.692275
cdbg,428,"Other Public Services Not Listed in 05A-05Y, 03T","3940 N Pulaski Rd, Chicago, IL 60641",7910.00,,Public Services,,1998-12-30,41.953026,-87.727808
cdbg,429,Neighborhood Facilities,"2150 W North Ave, Chicago, IL 60647",45000.00,,Public Improvements,,2005-12-31,41.910592,-87.681148
cdbg,431,Youth Services,"4909 W Division St, Chicago, IL 60651",56370.45,,Public Services,,1999-08-20,41.902184,-87.748645
cdbg,435,Health Services,"825 W Wellington Ave, Chicago, IL 60657",110000.00,,Public Services,,1999-08-17,41.936217,-87.650051
cdbg,438,"Other Public Services Not Listed in 05A-05Y, 03T","951 N Ashland Ave, Chicago, IL 60622",7799.92,,Public Services,,1998-12-30,41.8991,-87.667131
cdbg,439,Health Services,"1925 N Clybourn Ave, Chicago, IL 60614",138362.14,,Public Services,,1999-07-16,41.916084,-87.656368
cdbg,441,Health Services,"1015 W Lawrence Ave, Chicago, IL 60640",48288.99,,Public Services,,1999-08-17,41.968933,-87.655503
cdbg,443,Senior Services,"2650 W Belden Ave, Chicago, IL 60647",20576.02,,Public Services,,1998-12-30,41.923141,-87.694554
cdbg,445,"Other Public Services Not Listed in 05A-05Y, 03T","1852 W 19th St, Chicago, IL 60608",2000.00,,Public Services,,2003-02-19,41.856048,-87.672321
cdbg,447,"Other Public Services Not Listed in 05A-05Y, 03T","1145 W Wilson Ave, Chicago, IL 60640",18907.10,,Public Services,,1998-12-30,41.965236,-87.659013
cdbg,448,Senior Services,"8704 S Constance Ave, Chicago, IL 60617",38238.43,,Public Services,,1999-08-25,41.736696,-87.579574
cdbg,449,"Other Public Services Not Listed in 05A-05Y, 03T","1632 N Milwaukee Ave, Chicago, IL 60647",7500.00,,Public Services,,1998-12-30,41.910869,-87.678551
cdbg,451,Services for The Disabled,"1640 W Roosevelt Rd, Chicago, IL 60608",199910.91,,Public Services,,1998-12-30,41.867085,-87.667899
cdbg,453,"Other Public Services Not Listed in 05A-05Y, 03T","105 W Adams St, Chicago, IL 60603",39140.00,,Public Services,,1998-12-30,41.87927,-87.630918
cdbg,455,Services for The Disabled,"6610 N Clark St, Chicago, IL 60626",360904.89,,Public Services,,1998-12-30,42.001976,-87.672229
cdbg,457,Services for The Disabled,"1850 W Roosevelt Rd, Chicago, IL 60608",54779.54,,Public Services,,1999-08-23,41.867061,-87.672459
cdbg,458,"Other Public Services Not Listed in 05A-05Y, 03T","4300 N California Ave, Chicago, IL 60618",6925.00,,Public Services,,2000-02-10,41.959447,-87.698613
cdbg,459,Neighborhood Facilities,"1919 W Cullerton St, CHICAGO, ILLINOIS 60608, Chicago, IL 60608",42394.47,,Public Improvements,,2002-07-22,41.854819,-87.673932
cdbg,462,"Other Public Services Not Listed in 05A-05Y, 03T","65 E Wacker Pl, Chicago, IL 60601",7000.00,,Public Services,,1998-12-30,41.886616,-87.625488
cdbg,464,Services for The Disabled,"223 W Jackson Blvd Ste 510, Chicago, IL 60606",166912.20,,Public Services,,2000-03-22,41.877945,-87.634061
cdbg,467,"Other Public Services Not Listed in 05A-05Y, 03T","5420 W Roosevelt Rd, Chicago, IL 60644",19734.60,,Public Services,,1998-12-30,41.865854,-87.759909
cdbg,471,"Other Public Services Not Listed in 05A-05Y, 03T","4345 W Division St, Chicago, IL 60651",280996.00,,Public Services,,1999-12-30,41.902394,-87.734786
cdbg,474,"Other Public Services Not Listed in 05A-05Y, 03T","3745 W Ogden Ave, Chicago, IL 60623",21797.54,,Public Services,,2001-03-12,41.852861,-87.718783
cdbg,485,Youth Services,"7825 S Ellis Ave, Chicago, IL 60619",29800.00,,Public Services,,1998-12-31,41.752399,-87.600118
cdbg,491,Youth Services,"1507 E 53rd St, Chicago, IL 60615",29936.55,,Public Services,,2001-03-12,41.79941,-87.588985
cdbg,497,Youth Services,"213 W Institute Pl, Chicago, IL 60610",79999.50,,Public Services,,1998-12-31,41.89727,-87.634336
cdbg,500,Youth Services,"1832 W Washington Blvd, Chicago, IL 60612",49765.10,,Public Services,,2001-03-12,41.883392,-87.672566
cdbg,503,Youth Services,"5460 W Augusta Blvd, Chicago, IL 60651",25172.86,,Public Services,,1999-12-30,41.898708,-87.762564
cdbg,504,Youth Services,"6740 S South Shore Dr, Chicago, IL 60649",26714.21,,Public Services,,2000-12-30,41.772798,-87.56686
cdbg,506,"Other Public Services Not Listed in 05A-05Y, 03T","120 N Sangamon St, Chicago, IL 60607",278655.77,,Public Services,,1998-12-31,41.883586,-87.651149
cdbg,508,"Other Public Services Not Listed in 05A-05Y, 03T","1742 N Milwaukee Ave, Chicago, IL 60647",109844.00,,Public Services,,1998-12-31,41.912843,-87.681596
cdbg,509,"Other Public Services Not Listed in 05A-05Y, 03T","2335 W Madison St, Chicago, IL 60612",198014.43,,Public Services,,1998-12-31,41.880989,-87.684757
cdbg,510,Youth Services,"725 S Wells St Ste 1A, Chicago, IL 60607",43057.55,,Public Services,,1999-12-30,41.873042,-87.633375
cdbg,514,"Other Public Services Not Listed in 05A-05Y, 03T","5701 S Perry Ave, Chicago, IL 60621",120618.32,,Public Services,,1998-12-31,41.790945,-87.627482
cdbg,515,Youth Services,"3403 W Lawrence Ave Ste 300, Chicago, IL 60625",114590.14,,Public Services,,1999-12-30,41.968238,-87.713456
cdbg,516,"Other Public Services Not Listed in 05A-05Y, 03T","3179 N Broadway St, Chicago, IL 60657",89851.81,,Public Services,,1998-12-31,41.93967,-87.64415
cdbg,519,"Other Public Services Not Listed in 05A-05Y, 03T","3179 N Broadway St, Chicago, IL 60657",21650.16,,Public Services,,1998-12-31,41.93967,-87.64415
cdbg,521,Youth Services,"3858 S Cottage Grove Ave, Chicago, IL 60653",37342.54,,Public Services,,1999-12-30,41.824501,-87.607392
cdbg,522,"Other Public Services Not Listed in 05A-05Y, 03T","3179 N Broadway St, Chicago, IL 60657",32669.74,,Public Services,,2000-02-15,41.93967,-87.64415
cdbg,524,"Other Public Services Not Listed in 05A-05Y, 03T","4101 N Ravenswood Ave, Chicago, IL 60613",213999.00,,Public Services,,1998-12-31,41.956089,-87.673608
cdbg,526,Youth Services,"545 N Michigan Ave Fl 4, Chicago, IL 60611",52016.71,,Public Services,,2000-02-16,41.892156,-87.623866
cdbg,528,Youth Services,"1276 N Clybourn Ave, Chicago, IL 60610",47190.94,,Public Services,,1999-08-20,41.905301,-87.641952
cdbg,529,Youth Services,"801 N Dearborn St, Chicago, IL 60610",19740.44,,Public Services,,2001-03-12,41.896721,-87.629559
cdbg,530,Youth Services,"1126 W Granville Ave, Chicago, IL 60660",39599.72,,Public Services,,1999-12-30,41.99466,-87.659346
cdbg,531,CDBG Non-Profit Organization Capacity Building,"1507 E 53rd St, Chicago, IL 60615",32297.00,,Other,,2000-01-21,41.79941,-87.588985
cdbg,533,Youth Services,"625 W Jackson Blvd, Chicago, IL 60661",45395.58,,Public Services,,2001-03-12,41.877865,-87.642879
cdbg,534,Youth Services,"1701 W Superior St, Chicago, IL 60622",33176.83,,Public Services,,1999-08-09,41.894964,-87.669722
cdbg,535,Youth Services,"3148 W 63rd St, Chicago, IL 60629",32500.00,,Public Services,,1999-12-30,41.779158,-87.7022
cdbg,536,Youth Services,"4647 W Washington Blvd, Chicago, IL 60644",23753.34,,Public Services,,2000-12-30,41.88171,-87.741079
cdbg,538,Youth Services,"828 N Orleans St, Chicago, IL 60610",68739.54,,Public Services,,2000-06-27,41.897424,-87.637412
cdbg,540,Youth Services,"947 N Menard Ave, Chicago, IL 60651",29145.30,,Public Services,,2000-02-01,41.897698,-87.770123
cdbg,541,Youth Services,"4753 N Broadway St Ste 632, Chicago, IL 60640",29830.59,,Public Services,,2000-01-01,41.968667,-87.659362
cdbg,542,Youth Services,"626 W Jackson Blvd, Chicago, IL 60661",44212.99,,Public Services,,1999-12-06,41.878193,-87.642908
cdbg,543,Youth Services,"53 W Jackson Blvd, Chicago, IL 60604",39458.19,,Public Services,,2001-03-12,41.878005,-87.629554
cdbg,545,Youth Services,"2424 W Polk St, Chicago, IL 60612",30240.11,,Public Services,,1999-08-20,41.871336,-87.686825
cdbg,546,Youth Services,"9 S Kedzie Ave, Chicago, IL 60612",39138.49,,Public Services,,1999-08-20,41.880892,-87.705922
cdbg,547,Youth Services,"8659 S Ingleside Ave, Chicago, IL 60619",49778.07,,Public Services,,1999-08-20,41.737483,-87.601007
cdbg,548,Youth Services,"10420 S Halsted St, Chicago, IL 60628",57870.68,,Public Services,,1999-08-25,41.70473,-87.643056
cdbg,549,Youth Services,"721 N La Salle Dr, Chicago, IL 60654",114761.22,,Public Services,,1999-08-20,41.895548,-87.632381
cdbg,552,Youth Services,"1223 N Milwaukee Ave, Chicago, IL 60642",116580.66,,Public Services,,2000-12-30,41.903987,-87.667048
cdbg,555,Youth Services,"1751 W 47th St, Chicago, IL 60609",148286.75,,Public Services,,2000-12-30,41.808438,-87.668939
cdbg,559,Youth Services,"8659 S Ingleside Ave, Chicago, IL 60619",23495.09,,Public Services,,1999-12-30,41.737483,-87.601007
cdbg,561,Youth Services,"104 S Michigan Ave, Chicago, IL 60603",43916.13,,Public Services,,2000-12-30,41.880789,-87.624656
cdbg,562,Youth Services,"5936 W Lake St, Chicago, IL 60644",2149.58,,Public Services,,1999-12-31,41.887334,-87.773654
cdbg,564,Youth Services,"3052 S Gratten Ave, Chicago, IL 60608",39872.94,,Public Services,,1999-12-30,41.83884,-87.654156
cdbg,565,Youth Services,"6333 S Green St, Chicago, IL 60621",49404.59,,Public Services,,2000-12-30,41.777616,-87.646185
cdbg,566,Youth Services,"6333 S Green St, CHICAGO, Chicago, IL 60621",25301.43,,Public Services,,2001-03-12,41.777616,-87.646185
cdbg,567,Youth Services,"104 S Michigan Ave, Chicago, IL 60603",18819.13,,Public Services,,2001-03-12,41.880789,-87.624656
cdbg,568,Youth Services,"4538 W Fullerton Ave, Chicago, IL 60639",48396.24,,Public Services,,1999-12-30,41.924527,-87.740502
cdbg,569,Youth Services,"1772 W Lunt Ave, Chicago, IL 60626",44982.70,,Public Services,,1999-12-30,42.009187,-87.674291
cdbg,571,Youth Services,"104 S Michigan Ave, Chicago, IL 60603",78028.17,,Public Services,,1999-12-30,41.880789,-87.624656
cdbg,572,Youth Services,"9724 S Sangamon St, Chicago, IL 60643",17738.45,,Public Services,,2001-03-12,41.717147,-87.646965
cdbg,573,Youth Services,"12803 S Halsted St, Chicago, IL 60628",25616.67,,Public Services,,2001-03-12,41.661053,-87.641066
cdbg,574,Youth Services,"310 W 24th Pl, Chicago, IL 60616",30479.08,,Public Services,,2001-03-12,41.848399,-87.635093
cdbg,575,Youth Services,"542 S Dearborn St Ste 650, Chicago, IL 60605",148130.46,,Public Services,,1999-12-30,41.875145,-87.629433
cdbg,576,Youth Services,"8316 S Ellis Ave, Chicago, IL 60619",80390.93,,Public Services,,2000-12-30,41.743809,-87.600401
cdbg,577,Youth Services,"1016 W Argyle St, Chicago, IL 60640",29994.69,,Public Services,,1999-12-30,41.973426,-87.655642
cdbg,578,Youth Services,"2435 W Division St, Chicago, IL 60622",56699.59,,Public Services,,2000-12-30,41.902863,-87.688291
cdbg,579,Youth Services,"9204 S Commercial Ave, Chicago, IL 60617",48376.57,,Public Services,,1999-12-30,41.728069,-87.551431
cdbg,580,Youth Services,"5655 S University Ave, Chicago, IL 60637",34999.71,,Public Services,,1999-12-30,41.792293,-87.597856
cdbg,581,Youth Services,"2507 N Greenview Ave, Chicago, IL 60614",30000.00,,Public Services,,1999-12-30,41.927194,-87.665567
cdbg,582,Youth Services,"10420 S Halsted St, Chicago, IL 60628",35000.00,,Public Services,,1999-12-30,41.70473,-87.643056
cdbg,584,Youth Services,"7305 S Clyde Ave, Chicago, IL 60649",30581.91,,Public Services,,2001-03-12,41.76246,-87.573501
cdbg,585,Youth Services,"4432 N Ravenswood Ave, Chicago, IL 60640",25600.00,,Public Services,,1999-12-30,41.962866,-87.674744
cdbg,586,Youth Services,"7949 S Western Ave, Chicago, IL 60620",40192.88,,Public Services,,1999-12-30,41.748767,-87.682515
cdbg,587,Youth Services,"1210 W 78th Pl, Chicago, IL 60620",86232.73,,Public Services,,2000-12-30,41.751544,-87.654422
cdbg,588,Youth Services,"625 W Jackson Blvd, Chicago, IL 60661",79106.86,,Public Services,,1999-12-30,41.877865,-87.642879
cdbg,589,Youth Services,"9011 S Stony Island Ave, Chicago, IL 60617",94988.43,,Public Services,,1999-12-30,41.731286,-87.584874
cdbg,590,Youth Services,"1042 W Bryn Mawr Ave, Chicago, IL 60660",49726.73,,Public Services,,2000-12-30,41.983786,-87.656964
cdbg,591,Youth Services,"550 E 61st St, Chicago, IL 60637",19999.72,,Public Services,,1999-12-30,41.784114,-87.611419
cdbg,592,Youth Services,"7845 S Ashland Ave, Chicago, IL 60620",29843.20,,Public Services,,1999-12-30,41.751401,-87.663185
cdbg,593,Youth Services,"206 W Division St, Chicago, IL 60610",10837.82,,Public Services,,1999-12-03,41.904036,-87.634615
cdbg,595,Youth Services,"3501 W Armitage Ave, Chicago, IL 60647",44274.25,,Public Services,,2000-12-30,41.917183,-87.713516
cdbg,596,Youth Services,"1831 S Racine Ave, Chicago, IL 60608",49458.84,,Public Services,,1999-12-30,41.85716,-87.656179
cdbg,597,Youth Services,"5700 N Sheridan Rd, Chicago, IL 60660",25000.00,,Public Services,,1999-12-30,41.985633,-87.655462
cdbg,598,Youth Services,"6401 S Sangamon St, Chicago, IL 60621",23536.78,,Public Services,,2000-12-30,41.777872,-87.648162
cdbg,599,Youth Services,"2450 S State St, Chicago, IL 60616",25441.87,,Public Services,,2000-12-30,41.848164,-87.627276
cdbg,600,Youth Services,"1825 W Monterey Ave, Chicago, IL 60643",16399.55,,Public Services,,1999-12-30,41.69085,-87.667633
cdbg,601,Youth Services,"2621 W 79th St, Chicago, IL 60652",24935.72,,Public Services,,1999-12-30,41.749797,-87.688689
cdbg,602,Youth Services,"4410 W Armitage Ave, Chicago, IL 60639",19385.90,,Public Services,,1999-12-30,41.917227,-87.736681
cdbg,603,Youth Services,"4150 S King Dr, Chicago, IL 60653",63340.75,,Public Services,,1999-12-30,41.819323,-87.617352
cdbg,604,Youth Services,"801 N Dearborn St, Chicago, IL 60610",26468.48,,Public Services,,2000-12-30,41.896721,-87.629559
cdbg,605,Youth Services,"1107 N Orleans St, Chicago, IL 60610",45000.00,,Public Services,,1999-12-30,41.902201,-87.637159
cdbg,606,Youth Services,"801 N Dearborn St, Chicago, IL 60610",116736.99,,Public Services,,2000-12-30,41.896721,-87.629559
cdbg,607,Youth Services,"7648 N Paulina St, Chicago, IL 60626",37338.99,,Public Services,,1999-12-30,42.019891,-87.672874
cdbg,608,Youth Services,"6216 N Clark St, Chicago, IL 60660",28573.25,,Public Services,,2000-12-30,41.995024,-87.670515
cdbg,609,Youth Services,"801 N Dearborn St, Chicago, IL 60610",20932.88,,Public Services,,2000-02-16,41.896721,-87.629559
cdbg,610,Youth Services,"10 S Riverside Plz, Chicago, IL 60606",47882.87,,Public Services,,2001-03-12,41.881727,-87.638898
cdbg,611,Youth Services,"333 S State St, Chicago, IL 60604",25000.00,,Public Services,,1999-12-30,41.877023,-87.627364
cdbg,612,Youth Services,"180 N Wabash Ave, Chicago, IL 60601",59347.12,,Public Services,,2001-03-12,41.885362,-87.626508
cdbg,613,Youth Services,"1238 E 46th St, Chicago, IL 60653",25244.15,,Public Services,,2000-12-30,41.810709,-87.59559
cdbg,614,Youth Services,"53 W Jackson Blvd, Chicago, IL 60604",201828.99,,Public Services,,1999-12-30,41.878005,-87.629554
cdbg,615,Youth Services,"11015 S Michigan Ave, Chicago, IL 60628",28000.00,,Public Services,,2000-12-30,41.69395,-87.620631
cdbg,616,Youth Services,"203 N Wabash Ave Ste 1518, Chicago, IL 60601",29876.30,,Public Services,,1999-12-30,41.885827,-87.626059
cdbg,617,"Other Public Services Not Listed in 05A-05Y, 03T","10 S Riverside Plz, Chicago, IL 60606",1127353.38,,Public Services,,2000-12-20,41.881727,-87.638898
cdbg,618,Youth Services,"10001 S Woodlawn Ave, Chicago, IL 60628",28022.01,,Public Services,,2001-10-19,41.71108,-87.592778
cdbg,619,Youth Services,"14 E Jackson Blvd, Chicago, IL 60604",24187.32,,Public Services,,2000-02-16,41.87839,-87.626929
cdbg,620,Youth Services,"14 E Jackson Blvd, Chicago, IL 60604",20000.00,,Public Services,,2000-12-30,41.87839,-87.626929
cdbg,621,Youth Services,"14 E Jackson Blvd, Chicago, IL 60604",23075.53,,Public Services,,2001-03-12,41.87839,-87.626929
cdbg,622,Youth Services,"718 S Loomis St, Chicago, IL 60607",17919.53,,Public Services,,1999-12-30,41.872826,-87.661956
cdbg,623,Youth Services,"901 E 104th St, Chicago, IL 60628",34668.16,,Public Services,,1999-12-30,41.705512,-87.600969
cdbg,624,Youth Services,"5057 W North Ave, Chicago, IL 60639",39999.84,,Public Services,,1999-12-30,41.909348,-87.752918
cdbg,625,Youth Services,"5308 W North Ave, Chicago, IL 60639",28028.64,,Public Services,,2000-12-30,41.909697,-87.758449
cdbg,626,Youth Services,"3834 N Cicero Ave, Chicago, IL 60641",88945.53,,Public Services,,1999-12-30,41.950726,-87.747496
cdbg,640,"Other Public Services Not Listed in 05A-05Y, 03T","10650 S Longwood Dr, Chicago, IL 60643",117500.12,,Public Services,,1998-12-31,41.700733,-87.671264
cdbg,651,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",583096.68,,Economic Development,,2000-12-31,41.882525,-87.631107
cdbg,653,Other Commercial/Industrial Improvements,"20 N Clark St, SUITE 2800, Chicago, IL 60602",18116.16,,Economic Development,,1999-12-20,41.882525,-87.631107
cdbg,654,Other Commercial/Industrial Improvements,"20 N Clark St, SUITE 2800, Chicago, IL 60602",3825.01,,Economic Development,,1999-12-20,41.882525,-87.631107
cdbg,655,Other Commercial/Industrial Improvements,"20 N Clark St Ste 2800, Chicago, IL 60602",849.72,,Economic Development,,1999-12-20,41.882525,-87.631107
cdbg,656,Commercial/Industrial Infrastructure Development,"121 N La Salle St, Chicago, IL 60602",1370.29,,Economic Development,,1999-12-31,41.883612,-87.632145
cdbg,658,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",584017.45,,Economic Development,,2002-09-09,41.882525,-87.631107
cdbg,659,Commercial/Industrial Land Acquisition/Disposition,"121 N La Salle St, ROOM 1101, Chicago, IL 60602",21797.36,,Economic Development,,2000-03-30,41.883612,-87.632145
cdbg,660,Commercial/Industrial Infrastructure Development,"121 N La Salle St Rm 1000, Chicago, IL 60602",436891.88,,Economic Development,,1999-12-15,41.883612,-87.632145
cdbg,661,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",140000.00,,Economic Development,,1999-12-31,41.882525,-87.631107
cdbg,663,Commercial/Industrial Infrastructure Development,"121 N La Salle St, Chicago, IL 60602",293758.02,,Economic Development,,1999-12-31,41.883612,-87.632145
cdbg,664,Commercial/Industrial Land Acquisition/Disposition,"20 N Clark St Ste 2800, Chicago, IL 60602",141887.26,,Economic Development,,1999-03-31,41.882525,-87.631107
cdbg,666,Other Commercial/Industrial Improvements,"121 N La Salle St, ROOM 1006, Chicago, IL 60602",161657.56,,Economic Development,,2000-03-30,41.883612,-87.632145
cdbg,668,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",146478.60,,Economic Development,,1999-12-31,41.882525,-87.631107
cdbg,669,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St Ste 2800, Chicago, IL 60602",118500.00,,Economic Development,,1999-04-09,41.882525,-87.631107
cdbg,670,Commercial/Industrial Land Acquisition/Disposition,"20 N Clark St Ste 2800, Chicago, IL 60602",825519.22,,Economic Development,,2000-03-30,41.882525,-87.631107
cdbg,672,Commercial/Industrial Infrastructure Development,"20 N Clark St, SUITE 2800, Chicago, IL 60602",114776.35,,Economic Development,,2000-10-06,41.882525,-87.631107
cdbg,673,Commercial/Industrial Land Acquisition/Disposition,"20 N Clark St Ste 2800, Chicago, IL 60602",1580019.88,,Economic Development,,1999-12-31,41.882525,-87.631107
cdbg,674,Commercial/Industrial Land Acquisition/Disposition,"20 N Clark St Ste 2800, Chicago, IL 60602",734121.47,,Economic Development,,2002-08-20,41.882525,-87.631107
cdbg,675,Other Commercial/Industrial Improvements,"121 N La Salle St, SUITE 1000, Chicago, IL 60602",37705.41,,Economic Development,,2001-09-13,41.883612,-87.632145
cdbg,676,ED Direct: Financial Assistance to For-Profit Businesses,"20 N Clark St, SUITE 2800, Chicago, IL 60602",1279348.87,,Economic Development,,1999-12-31,41.882525,-87.631107
cdbg,677,Rehabilitation: Publicly or Privately Owned Commercial/Industrial,"20 N Clark St Ste 2800, Chicago, IL 60602",178253.87,,Economic Development,,1999-12-31,41.882525,-87.631107
