foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
The Raymond Frankel Foundation,2021,REBECCA'S DREAM,600 N LAKE SHORE DRIVE 512,CHICAGO,IL,60611,2000,COMBAT THE EFFECTS OF THE COVID-19 PANDEMIC,990-PF,41.901556567022,-87.624326741529,sited
The Raymond Frankel Foundation,2022,REBECCA'S DREAM,600 N LAKE SHORE DRIVE 512,CHICAGO,IL,60611,1000,COMBAT THE EFFECTS OF THE COVID-19 PANDEMIC,990-PF,41.901556567022,-87.624326741529,sited
Lohengrin Foundation INC,2021,BPI,25 E WASHINGTON STREET SUITE 1515,CHICAGO,IL,60602,16000,GENERAL FUND,990-PF,41.883162849634,-87.626490086268,sited
Lohengrin Foundation INC,2021,CHANGING WORLDS,329 W 18TH ST 506,CHICAGO,IL,60616,30000,GENERAL FUND,990-PF,41.857620854653,-87.637988752698,intermediary_or_citywide
Lohengrin Foundation INC,2021,FRIENDS OF THE CHILDREN,1512 S PULASKI RD,CHICAGO,IL,60623,100000,GENERAL FUND,990-PF,41.86032308639,-87.725073391045,sited
Lohengrin Foundation INC,2021,HARRIS THEATER FOR MUSIC & DANCE,205 E RANDOLPH STREET,CHICAGO,IL,60601,45000,GENERAL FUND,990-PF,41.884225378761,-87.622769087728,sited
Lohengrin Foundation INC,2021,HUMAN RIGHTS WATCH,314 W SUPERIOR STREET 300,CHICAGO,IL,60654,10000,GENERAL FUND,990-PF,41.895609756967,-87.63707401827,sited
Lohengrin Foundation INC,2021,INGENUITY,440 N WELLS STREET 505,CHICAGO,IL,60654,12500,GENERAL FUND,990-PF,41.890170853726,-87.634111271441,sited
Lohengrin Foundation INC,2021,KAM ISAIAH ISRAEL,1100 E HYDE PARK BLVD,CHICAGO,IL,60615,50000,GENERAL FUND,990-PF,,,intermediary_or_citywide
Lohengrin Foundation INC,2021,MANUFACTURING RENAISSANCE,3411 W DIVERSEY AVENUE 10,CHICAGO,IL,60647,8000,GENERAL FUND,990-PF,41.931906846099,-87.712837203673,sited
