geography,geography_level,year,transaction_count,dollars,instrument_mix_text,transactions_missing_amount
North Center,community_area,2021,21,673457,"TERM: 21 txn / $673,457",0
Lincoln Square,community_area,2021,37,667735,"TERM: 37 txn / $667,735",0
Fuller Park,community_area,2021,30,577946,"TERM: 30 txn / $577,946",0
Ohare,community_area,2021,28,466834,"TERM: 28 txn / $466,834",0
Norwood Park,community_area,2021,20,429440,"TERM: 20 txn / $429,440",0
Hegewisch,community_area,2021,23,371539,"TERM: 23 txn / $371,539",0
Forest Glen,community_area,2021,9,225341,"TERM: 9 txn / $225,341",0
Mount Greenwood,community_area,2021,9,108464,"TERM: 9 txn / $108,464",0
Edison Park,community_area,2021,3,38589,"TERM: 3 txn / $38,589",0
Near North Side,community_area,2022,53,42700332,"TERM: 38 txn / $30,455,590; LOC: 15 txn / $12,244,742",0
Near West Side,community_area,2022,56,31569840,"TERM: 40 txn / $22,309,465; LOC: 16 txn / $9,260,375",0
Bridgeport,community_area,2022,71,30700384,"TERM: 69 txn / $30,662,232; LOC: 2 txn / $38,152",0
West Town,community_area,2022,43,22575664,"TERM: 33 txn / $12,729,601; LOC: 10 txn / $9,846,063",0
Lake View,community_area,2022,28,22330207,"TERM: 17 txn / $12,460,148; LOC: 11 txn / $9,870,059",0
Austin,community_area,2022,107,19281455,"TERM: 99 txn / $19,067,933; LOC: 8 txn / $213,522",0
South Shore,community_area,2022,39,19262517,"TERM: 34 txn / $18,608,798; LOC: 5 txn / $653,719",0
Loop,community_area,2022,61,16405054,"TERM: 50 txn / $10,212,056; LOC: 11 txn / $6,192,997",0
Logan Square,community_area,2022,56,15350790,"TERM: 43 txn / $6,039,836; LOC: 13 txn / $9,310,955",0
Brighton Park,community_area,2022,64,12719564,"TERM: 59 txn / $11,652,851; LOC: 5 txn / $1,066,713",0
Mckinley Park,community_area,2022,46,10052799,"TERM: 45 txn / $10,032,578; LOC: 1 txn / $20,221",0
Armour Square,community_area,2022,36,10017320,"TERM: 36 txn / $10,017,320",0
Woodlawn,community_area,2022,27,9403101,"TERM: 19 txn / $8,560,142; LOC: 8 txn / $842,959",0
New City,community_area,2022,65,8655483,"TERM: 62 txn / $8,591,560; LOC: 3 txn / $63,923",0
Rogers Park,community_area,2022,16,8231298,"TERM: 14 txn / $8,176,077; LOC: 2 txn / $55,221",0
Kenwood,community_area,2022,21,7477020,"TERM: 16 txn / $7,144,278; LOC: 5 txn / $332,742",0
Englewood,community_area,2022,23,7356335,"TERM: 18 txn / $6,759,322; LOC: 5 txn / $597,013",0
Hyde Park,community_area,2022,21,7148567,"TERM: 19 txn / $7,121,926; LOC: 2 txn / $26,641",0
Uptown,community_area,2022,36,6057723,"TERM: 31 txn / $5,839,365; LOC: 5 txn / $218,358",0
Humboldt Park,community_area,2022,45,5670872,"TERM: 37 txn / $2,271,716; LOC: 8 txn / $3,399,156",0
Chatham,community_area,2022,26,5320593,"TERM: 21 txn / $3,657,551; LOC: 5 txn / $1,663,042",0
Greater Grand Crossing,community_area,2022,17,4730662,"TERM: 13 txn / $4,688,646; LOC: 4 txn / $42,016",0
South Lawndale,community_area,2022,58,4646246,"TERM: 56 txn / $4,593,700; LOC: 2 txn / $52,546",0
