"record_id","recipient","amount_usd","grant_type","award_year","recipient_url","source_note","source_url","source_checked_at"
"impact-grants-2020-law-center-for-better-housing-merit","Law Center for Better Housing","30000","Merit Grant","2020","http://www.lcbh.org/","(fka Lawyers’ Committee for Better Housing)","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2026-law-center-for-better-housing-impact","Law Center for Better Housing","100000","Impact Grant","2026","http://www.lcbh.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-lawndale-christian-legal-center-merit","Lawndale Christian Legal Center","30000","Merit Grant","2020","http://www.lclc.net/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-lawndale-christian-legal-center-impact","Lawndale Christian Legal Center","100000","Impact Grant","2023","http://lclc.net/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-lyte-collective-merit","Lyte Collective","15000","Merit Grant","2023","https://www.lytecollective.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-margaret-s-village-impact","Margaret’s Village","100000","Impact Grant","2022","http://www.margaretsvillage.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2023-meals-on-wheels-chicago-merit","Meals on Wheels Chicago","15000","Merit Grant","2023","https://www.mealsonwheelschicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-nami-chicago-merit","NAMI Chicago","20000","Merit Grant","2022","http://www.namichicago.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-new-moms-merit","New Moms","20000","Merit Grant","2021","http://www.newmoms.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2024-new-moms-impact","New Moms","100000","Impact Grant","2024","http://www.newmoms.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2019-newroot-learning-institute-merit","NewRoot Learning Institute","10000","Merit Grant","2019","http://www.newroot.org/","(fka Umoja)","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2025-north-side-housing-merit","North Side Housing","30000","Merit Grant","2025","https://www.northsidehousing.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2020-nourishing-hope-impact","Nourishing Hope","100000","Impact Grant","2020","http://www.lakeviewpantry.org/","(fka Lakeview Pantry)","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2022-old-irving-park-community-clinic-merit","Old Irving Park Community Clinic","20000","Merit Grant","2022","http://www.oipcc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-old-irving-park-community-clinic-merit","Old Irving Park Community Clinic","20000","Merit Grant","2021","http://www.oipcc.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2018-one-million-degrees-impact","One Million Degrees","100000","Impact Grant","2018","http://www.onemilliondegrees.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
"impact-grants-2021-onward-neighborhood-house-merit","Onward Neighborhood House","20000","Merit Grant","2021","http://www.onwardhouse.org/","","https://www.impactgrantschicago.org/all-grant-recipients/","2026-08-08"
