hud_id,project_name,address,zip,units_total,units_low_income,annual_allocated_amount,allocation_year,placed_in_service_year,lat,lng,coord_source
ILB19880040,4867 N WASHTENAW AVE,4867 N WASHTENAW AVE,60625,20,16,,1988,1988,41.970176,-87.696079,hud_source
ILB19880045,5700 W WASHINGTON BLVD,5700 W WASHINGTON BLVD,60644,20,20,,1988,1988,41.882366,-87.768166,hud_source
ILB19880050,900 W WINDSOR AVE,900 W WINDSOR AVE,60640,18,18,,1987,1988,41.964642,-87.653474,hud_source
ILB19880055,BOULEVARD COMMONS II,5417 W WASHINGTON BLVD,60644,212,212,,1988,1988,41.882131,-87.760856,hud_source
ILB19880060,CYRIL COURT APTS,7130 S CYRIL CT,60649,205,205,,1987,1988,41.764995,-87.577115,hud_source
ILB19880065,GERMANO MILLGATE,8766 S BURLEY AVE,60617,350,350,,1988,1988,41.736009,-87.546033,hud_source
ILB19880070,GUYON ASSOC,116 N PULASKI RD,60624,114,114,,1988,1988,41.882491,-87.725905,hud_source
ILB19880075,PARKVIEW (CHICAGO),5110 S KING DR,60615,102,100,,1987,1988,41.801699,-87.616395,hud_source
ILB19880085,SU CASA,1614 W JONQUIL TER,60626,25,25,,1988,1988,42.021311,-87.671237,hud_source
ILB19890010,1530-42 N KEDZIE,1530 N KEDZIE AVE,60651,50,50,,1988,1989,41.909204,-87.707193,hud_source
ILB19890015,4441-47 S GREENWOOD,4441 S GREENWOOD AVE,60653,33,33,,1988,1989,41.814237,-87.599136,hud_source
ILB19890020,4819-21 S CALUMET,4819 S CALUMET AVE,60615,8,8,,1989,1989,41.807217,-87.617865,hud_source
ILB19890025,6126 S WOODLAWN AVE,6126 S WOODLAWN AVE,60637,35,35,,1988,1989,41.783689,-87.596506,hud_source
ILB19890030,7835 S DREXEL AVE,7835 S DREXEL AVE,60619,2,2,,1989,1989,41.752495,-87.602576,hud_source
ILB19890035,BOULEVARD COMMONS II,1499 N CENTRAL AVE,60651,19,19,,1989,1989,41.907554,-87.765636,hud_source
ILB19890040,BOULEVARD COMMONS IIA,5623 W WASHINGTON BLVD,60644,42,42,,1989,1989,41.882067,-87.765963,hud_source
ILB19890045,CIRCLE GARDEN APTS,127 N CENTRAL AVE,60644,88,88,,1988,1989,41.882817,-87.764683,hud_source
ILB19890050,ENTRE NOUS,1700 W JUNEWAY TER,60626,32,32,,1988,1989,42.022697,-87.673094,hud_source
ILB19890060,HEARTHSTONE PARTNERS II,1018 N RIDGEWAY AVE,60651,2,2,,1989,1989,41.899434,-87.720338,hud_source
ILB19890070,SUNNYSIDE APTS,850 W SUNNYSIDE AVE,60640,124,124,,1989,1989,41.963828,-87.651428,hud_source
ILB19890075,WOODLAKE VILLAGE APTS,1204 E 46TH ST,60653,70,28,,1989,1989,41.810933,-87.596533,hud_source
ILB19890080,WOODLAND PARK APTS,606 E WOODLAND PARK AVE,60616,240,48,,1988,1989,41.833095,-87.611128,hud_source
ILB19900005,146 & 419 S HAMLIN,146 S HAMLIN BLVD,60624,31,31,,1989,1990,41.878729,-87.72096,hud_source
ILB19900010,1517-19 W MARQUETTE,1517 W MARQUETTE RD,60636,9,9,,1989,1990,41.772067,-87.662299,hud_source
ILB19900015,4611 S DREXEL BLVD,4611 S DREXEL BLVD,60653,44,39,,1989,1990,41.811096,-87.603705,hud_source
ILB19900020,7024-32 S PAXTON,7024 S PAXTON AVE,60649,24,25,,1989,1990,41.76735,-87.571678,hud_source
ILB19900025,7500-06 S EGGLESTON,7500 S EGGLESTON AVE,60620,24,23,,1989,1990,41.758062,-87.635937,hud_source
ILB19900030,AUSTIN SHORE DEVELOPMENT,151 N LAVERGNE AVE,60644,28,28,,1989,1990,41.883266,-87.750028,hud_source
ILB19900035,AUSTIN SHORES,7117 S EUCLID AVE,60649,19,19,,1989,1990,41.765503,-87.577872,hud_source
ILB19900040,DICKENS APTS REHAB II,3621 W DICKENS AVE,60647,34,34,,1989,1990,41.918953,-87.717575,hud_source
ILB19900045,GROVE PARC PLAZA APTS,6020 S COTTAGE GROVE AVE,60637,504,504,,1988,1990,41.785423,-87.606267,hud_source
ILB19900050,MONROE/LAVERGNE,5000 W ADAMS ST,60644,52,52,,1989,1990,41.878721,-87.749389,hud_source
ILB19900055,MONTROSE WOLCOTT BUILDING,1900 W MONTROSE AVE,60613,9,9,,1989,1990,41.961671,-87.675991,hud_source
ILB19900060,NORTH PULASKI,212 N PULASKI RD,60624,30,30,,1989,1990,41.883728,-87.725945,hud_source
ILB19900065,ONE SPECTACULAR MICHIGAN,4641 S MICHIGAN AVE,60653,8,8,,1989,1990,41.810431,-87.622641,hud_source
ILB19900070,SUTHERLAND,4647 S DREXEL BLVD,60653,157,155,,1990,1990,41.809902,-87.603684,hud_source
ILB19900075,TWO SPECTACULAR MICHIGAN,4645 S MICHIGAN AVE,60653,8,8,,1989,1990,41.810361,-87.62264,hud_source
ILB19900080,WEST WASHINGTON ASSOC,4200 W WASHINGTON BLVD,60624,49,49,,1989,1990,41.882161,-87.730593,hud_source
ILB19909001,BRONZEVILLE ASSOCIATES LP II,400 E 41ST ST,60653-3071,24,24,,2013,1990,41.820426,-87.615356,hud_source
ILB19909002,LUCY GONZALEZ PARSONS APARTMENTS,2614 N EMMETT ST,60647-0486,100,100,,9999,1990,41.930541,-87.708276,hud_source
ILB19909003,THE MARSHALL - 8161,1232 N LA SALLE DR,60610-1913,90,90,,9999,1990,41.90464,-87.63324,hud_source
ILB19910005,5040 W WASHINGTON BLVD,5040 W WASHINGTON BLVD,60644,44,44,,1990,1991,41.881913,-87.751302,hud_source
