sourceRecordId,sourceProgram,sourceUrl,sourcePublishedAt,sourceCheckedAt,payerName,payerEin,parentCompany,vehicle,recipient,awardYear,amountAwarded,amountEvidence,supportKind,purpose,publishedAddress,publishedCity,publishedState,publishedPostalCode,locationBasis,locationSourceUrl,locationSourceRecordId,possibleDuplicateOf,duplicateState,reviewState,reviewNote
comcast-rise-2021-012,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Chicago Kernel,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-013,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Chicago Paramount Personal Training, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-014,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Coaching with Love Day Care Center,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-015,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Cocina Fusion,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-016,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Crystal's Bridal, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-017,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Dim Dim Foods, Inc.",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-018,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Dixieland Childcare,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-019,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,"Eagles Soar Consulting, LLC",2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-020,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Elizabeth Martel Childcare,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
comcast-rise-2021-021,Comcast RISE Investment Fund,https://corporate.comcast.com/stories/local/illinois/comcast-rise-investment-fund-awards-1-million-in-grants-to-100-bipoc-owned-small-businesses-in-chicago-and-cook-county,2021-04-27,2026-08-24,Comcast Corporation (Comcast RISE Investment Fund),,Comcast Corporation,company_program,Farrell's Barber Shop,2021,10000,program_fixed_per_recipient,cash_grant,Comcast RISE Investment Fund grant to BIPOC-owned small businesses impacted by COVID-19,,Chicago,IL,,city_only,,,,clear,ready,announcement-class; crosswalk against future 990/company filings on refresh
