legal_business_name,dba,published_municipality,county,historical_grant_amount_usd,source_url,source_version,source_status,source_precision,program_name,assistance_type,award_status,program_status,record_note
BUCKS HOSPITALITY INC,,Bolingbrook,Will,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
CASA MIA LOUNGE & RESTAURANT,,NAPLATE,La Salle,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Chai and Mom Corporation,,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
China Chef,,Aurora,Kane,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Club 41 LLC,Club 41,Saint Augustine,Knox,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Colonial Lodge Motel,,Elgin,Cook,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
EL HUICHOL DE DON MEMO NVS INCORPORATED,,JOLIET,Will,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Flyin Lion LLC dba Hurricanes Bar & Grill,Hurricanes Bar & Grill,Collinsville,Madison,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Heritage 300 S Wacker LLC,,Chicago,Cook,10000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
HOA HOTELS LLC,,East Peoria,Tazewell,50000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
Horizon star hotels LLC,Baymont Inn and Suites,gurnee,Lake,25000,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/smallbizassistance/documents/hospitality-grant-awardees-full-list.pdf,2020-04-27,official_confirmed_awardee_list,municipality,Illinois Hospitality Emergency Grant Program,grant,historical_award,closed,Historical 2020 state emergency grant award from a closed program; not an active opportunity or an estimate of available funding. Municipality and county are source-published; no street address or ZIP is inferred.
