program,tier,round,recipient,address,amount,log_line,source_url
Community Development Grant,large,June 2026,PrimeCare Hermosa,4528-38 W. Fullerton Ave.,5000000,"27,000-square-foot community health center with exam/procedure rooms, a pharmacy and an infusion center.",https://www.cbsnews.com/chicago/news/city-of-chicago-grants-neighborhood-projects/
Community Development Grant,large,June 2026,Hoste,1819-57 W. 16th St.,4800000,"Expand a community venue with event space, a community soccer concept, a kombucha production facility, and a bagel shop.",https://whatstheword.tv/2026/06/24/chicago-invests-42-5m-in-housing-communty-centers-and-local-business-projects/
Community Development Grant,large,June 2026,"MLK East: Arts, Enterprise & Community Hub",1600 S. Lawndale Ave.,4700000,"Redevelop a vacant building into a business/arts/cultural hub with a restaurant, chocolatier and gallery, among other tenants.",https://chicagodefender.com/mayor-brandon-johnson-announces-42-5-million-in-grant-support-for-56-neighborhood-development-projects/
Community Development Grant,large,June 2026,Black Fire Brigade First Responder Training Academy,1823 W. 47th St.,3900000,"New headquarters featuring training facilities, classrooms and offices.",https://www.chicagoconstructionnews.com/chicago-awards-42-5-million-for-56-neighbourhood-development-projects/ https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/community-development-grant-recipients.html
Community Development Grant,large,June 2026,Grace's Furniture Building (Logan Square Athletic Club project),2616-18 N. Milwaukee Ave.,3000000,Rehab a long-vacant building into a 4-story health club with ground-floor restaurant and cafe ($11M total project).,https://blockclubchicago.org/2026/06/24/graces-furniture-building-developers-get-3-million-to-revive-logan-square-gym-plan/
Community Development Grant,large,June 2026,West Town Bikes and Ciclo Urbano,2459 W. Division St.,2500000,Expanded workforce development space for bike-building programs for teenagers.,https://www.cbsnews.com/chicago/news/city-of-chicago-grants-neighborhood-projects/
Community Development Grant,large,June 2026,433 Missionary NFP,433 W. 119th St.,1800000,Convert a fire-damaged building into three retail spaces and affordable apartments.,https://chicagodefender.com/mayor-brandon-johnson-announces-42-5-million-in-grant-support-for-56-neighborhood-development-projects/
Community Development Grant,large,June 2026,National Museum of Mexican Art,1852 W. 19th St.,1400000,Renovate the free museum's performing arts spaces.,https://www.cbsnews.com/chicago/news/city-of-chicago-grants-neighborhood-projects/
Community Development Grant,large,June 2026,Community Creation Center at Chicago Urban League,4510 S. Michigan Ave.,490714,"Renovate a community center to include a training kitchen, production studio, pop-up retail space and technology training lab ($981,428 total project).",https://www.chicagoconstructionnews.com/chicago-awards-42-5-million-for-56-neighbourhood-development-projects/
Community Development Grant,large,January 2026,Little Village Small Business Visitor Center,3856 W. 26th St.,1300000,Create a $3.6 million headquarters for the Little Village Chamber of Commerce.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,large,January 2026,PACTT School,7225 N. Greenview Ave.,500000,$3 million expansion creating six classrooms for youth with autism.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,large,January 2026,Supportive Opportunity Space,536 E. 47th St.,769615,Create a $1.5 million shared services hub for minority-owned small businesses.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,large,January 2026,Wilma's Famous Foods,2800 W. Madison St.,2800000,Create a $5.6 million restaurant and community hub.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,A Huevo LLC,10538 S. Ewing Ave.,218325,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Adriana Floral,3912 N. Cicero Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,AllKinds Studio,3825 W. Lake St.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Annoyance Theatre,851 W. Belmont Ave.,127998,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Ballet Folklorico,3006 N. Pulaski Road,203152,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Bella Luna Chicago,713 N. State St.,236605,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Brothers Restaurant,3000 W. Belmont Ave.,83512,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,D5 Design & Metal Fabrication,2439 N. Pulaski Road,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Fatso Hard Kitchen,6464 W. North Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Frances Simmons Ellis,6046 W. North Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Gateway to Learning,4925 N. Lincoln Ave.,111234,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Goodman Theatre,330 N. Clark St.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Grind & Dream Coffee,601 W. 111th St.,244725,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Heuristic Holistic Health,1222 W. 95th St.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Joel Hall Dancers & Center,4511 N. Clark St.,51818,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Josephine's Coffee,1843 W. Chicago Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Junior Chef's Kitchen West Loop,1061 W. Van Buren St.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Kabob-it Restaurant,10 W. 35th St.,123150,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,KMY Banquet Hall,2901 W. Touhy Ave.,231000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Night Heron,1636 E. 55th St.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,North Lawndale Employment Network,1114 S. Homan Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Nywele Salon,222 E. 95th St.,248175,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Parlor Station,4837 N. Lipps Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Project 301,301 E. 95th St.,191287,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,South Shore Hospital Wellness Center,2525 E. 83rd St.,164178,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Taza Mora Café,2142 W. Cermak Road,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,The Hinterlands,3666 W. Irving Park Road,110634,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Turn Back Time,3834 W. Irving Park Road,75212,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Wonderland Child Care Center,5729 W. Belmont Ave.,250000,,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Atrium Thirty-Six,3619 S. Hoyne Ave.,150000,Reuse of a former church campus as a cultural and social resource center.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,Ethola Restaurant and BSCP Hall,846 W. 119th St.,150000,Afro-Caribbean restaurant and event venue renovation.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,JS8 Holding,3265 S. Halsted St.,150000,Korean and Japanese American diner renovation.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,small,January 2026,S2 City Grill,8734 S. Stony Island Ave.,150000,Acquisition and expansion of existing restaurant and daiquiri bar.,https://www.chicago.gov/city/en/sites/community-development-grant/home/community-development-grant-finalists.html
Community Development Grant,large,June 2026,Community Creation Center at the Chicago Urban League,4510 S. Michigan Ave.,490714,"Renovate a community center to include a training kitchen, production studio, pop-up retail and technology training lab. Total project costs: $981,428.",https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,large,June 2026,PRAA Cultural Campus,3000-06 N. Elbridge Ave.,1300000,Expand the Puerto Rican Arts Alliance campus and renovate the existing building. Total project costs: $3.9 million.,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,A House in Austin,533 N. Pine Ave.,115085,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Annapurna,899 S. Plymouth Court,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Avant Wellness,2011 W. Grand Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Chicago Eats Pancake & Waffle House,4100 W. Madison St.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Chicago Playborhood,4684 N. Elston Ave.,71325,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Elegant Flowers,3504 W. 47th St.,147675,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Haitian American Museum of Chicago,4623 N. Clark St.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Little Black Pearl Workshop,1060 E. 47th St.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Little Leaders Academy 2,6347 S. Kedzie Ave.,81925,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Miss Ollie's Market,1070 W. Berwyn Ave.,205342,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Moochie's Pizzeria,4212 W. Madison St.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,National Italian-American Sports Hall of Fame Museum,3417 N. Harlem Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Quantum LEEP Academy,1447 W. Montrose Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Salon Spice Beauty Bar and Boutique,7045 S. Jeffery Blvd.,207556,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Soccer House,501 N. Ogden Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,South Side Sanctuary,4702 S. King Drive,194640,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Terra Coffee,3341 W. Belmont Ave.,124081,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,The Afterlife Bar and Restaurant,3601 W. Diversey Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,The Print Lounge,4727 S. Wabash Ave.,250000,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Worthy Salon,4823 W. Irving Park Road,130462,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Esperanza Behavioral Health & Community Services,520 N. Marshfield Ave.,,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Full Circle Performing Arts Center,9350 S. South Chicago Ave.,,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Living Fresh Marketplace @ Maple Park,821 W. 115th St.,,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
Community Development Grant,small,June 2026,Phoenix Bean Relocation Project,5535 N. Wolcott Ave.,,,https://www.chicago.gov/city/en/depts/dcd/provdrs/ec_dev/news/2026/june/mayor-brandon-johnson-announces--42-5-million-in-grant-support-f.html
