foundation,tax_year,recipient,address_line1,city,state,zip,amount,purpose,source_form,lat,lng,locType
Circle of Service Foundation,2023,CIVIC CONSULTING ALLIANCE,190 S LASALLE STREET 39TH FLOOR,CHICAGO,IL,60603,50000,COMMUNITY SERVICES,990-PF,41.879514148711,-87.63237315861,sited
Circle of Service Foundation,2023,CIVIC CONSULTING ALLIANCE,190 S LASALLE STREET 39TH FLOOR,CHICAGO,IL,60603,75000,EDUCATION,990-PF,41.879514148711,-87.63237315861,sited
Circle of Service Foundation,2023,CIVIC CONSULTING ALLIANCE,190 S LASALLE STREET 39TH FLOOR,CHICAGO,IL,60603,75000,VIOLENCE REDUCTION,990-PF,41.879514148711,-87.63237315861,sited
Circle of Service Foundation,2023,CODE NATION INC,200 S WACKER DRIVE 20TH FLOOR,CHICAGO,IL,60606,30000,EDUCATION,990-PF,41.879291889687,-87.63702988818,sited
Circle of Service Foundation,2023,CODE NATION INC,200 S WACKER DRIVE 20TH FLOOR,CHICAGO,IL,60606,1000,MATCH/DISCRETIONARY,990-PF,41.879291889687,-87.63702988818,sited
Circle of Service Foundation,2023,COMMUNITIES IN SCHOOLS OF CHICAGO,815 W VAN BUREN ST SUITE 300,CHICAGO,IL,60607,60000,EDUCATION,990-PF,41.876603022207,-87.648075570713,sited
Circle of Service Foundation,2023,COMMUNITY HEALTH NFP,2611 W CHICAGO AVE,CHICAGO,IL,60622,40000,COMMUNITY SERVICES,990-PF,41.895632216929,-87.692081138071,sited
Circle of Service Foundation,2023,CONNECTIONS FOR ABUSED WOMEN AND THEIR CHILDREN,1116 N KEDZIE AVE 5TH FLOOR,CHICAGO,IL,60651,15000,COMMUNITY SERVICES,990-PF,41.901809739887,-87.706833683051,sited
Circle of Service Foundation,2023,COORDINATED ADVICE AND REFERRAL PROGRAM FOR LEGAL SERVICES,35 E WACKER DR SUITE 3000,CHICAGO,IL,60601,25000,COMMUNITY SERVICES,990-PF,41.887530047162,-87.625851774658,sited
Circle of Service Foundation,2023,COUNCIL FOR JEWISH ELDERLY,3003 W TOUHY AVE,CHICAGO,IL,60645,150000,JEWISH COMMUNITY,990-PF,42.011905047554,-87.704561476946,sited
Circle of Service Foundation,2023,COUNCIL FOR JEWISH ELDERLY,3003 W TOUHY AVE,CHICAGO,IL,60645,54100,MATCH/DISCRETIONARY,990-PF,42.011905047554,-87.704561476946,sited
Circle of Service Foundation,2023,CRADLES TO CRAYONS INC,2500 W BRADLEY PLACE UNIT A,CHICAGO,IL,60618,25000,EDUCATION,990-PF,41.949519154349,-87.690866150717,sited
Circle of Service Foundation,2023,CRADLES TO CRAYONS INC,2500 W BRADLEY PLACE UNIT A,CHICAGO,IL,60618,435,MATCH/DISCRETIONARY,990-PF,41.949519154349,-87.690866150717,sited
Circle of Service Foundation,2023,CROSSROADS FUND,3411 W DIVERSEY AVE SUITE 20,CHICAGO,IL,60647,25000,COMMUNITY SERVICES,990-PF,41.931906846099,-87.712837203673,sited
Circle of Service Foundation,2023,CROSSROADS FUND,3411 W DIVERSEY AVE SUITE 20,CHICAGO,IL,60647,12200,MATCH/DISCRETIONARY,990-PF,41.931906846099,-87.712837203673,sited
Circle of Service Foundation,2023,CYSTIC FIBROSIS FOUNDATION,200 N LA SALLE ST SUITE 2300,CHICAGO,IL,60601,5000,MATCH/DISCRETIONARY,990-PF,41.885796837609,-87.632526709602,sited
Circle of Service Foundation,2023,DARE2TRI PARATRIATHLON CLUB,516 N OGDEN AVE UNIT 172,CHICAGO,IL,60642,2000,MATCH/DISCRETIONARY,990-PF,41.891542771421,-87.658826291113,sited
Circle of Service Foundation,2023,DEBORAHS PLACE,2822 W JACKSON BLVD,CHICAGO,IL,60612,50000,COMMUNITY SERVICES,990-PF,41.87748144593,-87.697018917698,sited
Circle of Service Foundation,2023,DEPRESSION AND BIPOLAR SUPPORT ALLIANCE,55 E JACKSON BLVD SUITE 490,CHICAGO,IL,60604,1000,MATCH/DISCRETIONARY,990-PF,41.878186887212,-87.626002494406,sited
Circle of Service Foundation,2023,DIGESTIVE HEALTH FOUNDATION,676 N SAINT CLAIR ST ARKES PAVILION SUITE 1400,CHICAGO,IL,60611,25000,MATCH/DISCRETIONARY,990-PF,41.894574076824,-87.622822875376,intermediary_or_citywide
Circle of Service Foundation,2023,DIGS WITH DIGNITY CORPORATION,1634 W 37TH PL,CHICAGO,IL,60609,1000,MATCH/DISCRETIONARY,990-PF,41.825976736244,-87.666809189495,sited
Circle of Service Foundation,2023,DUSABLE BLACK HISTORY MUSEUM AND EDUCATION CENTER THE,740 E 56TH PL,CHICAGO,IL,60637,30000,COMMUNITY SERVICES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,DYSTONIA MEDICAL RESEARCH FOUNDATION,ONE E WACKER DR SUITE 1730,CHICAGO,IL,60601,2000,MATCH/DISCRETIONARY,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,DYSTONIA MEDICAL RESEARCH FOUNDATION,ONE E WACKER DR SUITE 1730,CHICAGO,IL,60601,25000,MEDICAL RESEARCH,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,EMBARC INC,PO BOX 221450,CHICAGO,IL,60622,75000,SKILLED CONSTRUCTION TRADES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,ENLACE CHICAGO,2759 S HARDING AVE,CHICAGO,IL,60623,25000,COMMUNITY SERVICES,990-PF,41.841348326559,-87.723171551161,sited
Circle of Service Foundation,2023,EQUAL HOPE,300 S ASHLAND AVE SUITE 202,CHICAGO,IL,60607,25000,COMMUNITY SERVICES,990-PF,41.877564466335,-87.66685216787,sited
Circle of Service Foundation,2023,ERIE FAMILY HEALTH CENTER INC,DEVELOPMENT DEPARTMENT 1701 W SUPERIOR 3RD FLOOR,CHICAGO,IL,60622,40000,COMMUNITY SERVICES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,ERIKSON INSTITUTE,451 N LASALLE ST,CHICAGO,IL,60654,100000,EDUCATION,990-PF,41.890492649321,-87.632388281839,sited
Circle of Service Foundation,2023,ERIKSON INSTITUTE,451 N LASALLE ST,CHICAGO,IL,60654,1800,MATCH/DISCRETIONARY,990-PF,41.890492649321,-87.632388281839,sited
Circle of Service Foundation,2023,ESPERANZA HEALTH CENTERS,1940 S WESTERN AVE SUITE 205,CHICAGO,IL,60608,30000,COMMUNITY SERVICES,990-PF,41.855324209527,-87.685804529572,sited
Circle of Service Foundation,2023,EXPERIMENTAL STATION,6100 S BLACKSTONE AVE,CHICAGO,IL,60637,10000,EDUCATION,990-PF,41.783881985117,-87.59037351009,sited
Circle of Service Foundation,2023,FAMILY MATTERS INC,7731 N MARSHFIELD AVE,CHICAGO,IL,60626,250,MATCH/DISCRETIONARY,990-PF,42.021607121712,-87.671813262543,sited
Circle of Service Foundation,2023,FAMILY RESCUE,PO BOX 17528 8811 S STONY ISLAND AVE,CHICAGO,IL,60617,25000,COMMUNITY SERVICES,990-PF,,,intermediary_or_citywide
Circle of Service Foundation,2023,FIGUEROA WU FAMILY FOUNDATION,2600 W 21ST ST,CHICAGO,IL,60608,14000,MATCH/DISCRETIONARY,990-PF,41.853874449622,-87.690675657189,sited
